HomeTeamExpenditure,HomeTeamIncome,HomeTeamBalance,AwayTeamExpenditure,AwayTeamIncome,AwayTeamBalance,HomeElo,AwayElo,EloDiff,FTR,FTR
53.15,12.33,-40.82,9.6,4.5,-5.1,1499.9711718595802,1488.4996730751443,11.47149878443588,1,A
0.0,0.145,0.145,25.91,26.39,0.475,1514.2168005462704,1501.2366078049106,12.980192741359815,1,H
16.87,5.53,-11.34,13.33,6.88,-6.45,1483.949534324062,1527.6495371375186,-43.70000281345665,1,H
52.39,37.72,-14.67,11.7,9.7,-2.0,1500.8810148910134,1541.411034672146,-40.53001978113252,-1,A
20.28,1.46,-18.81,33.47,10.0,-23.47,1488.5752210869528,1483.7589315137716,4.816289573181166,0,D
18.65,42.4,23.75,34.0,19.61,-14.4,1459.739694666522,1527.735959582966,-67.99626491644403,0,D
6.61,8.94,2.34,0.0,0.145,0.145,1512.39018672955,1500.8263283890817,11.563858340468187,-1,A
19.0,26.28,7.28,18.65,42.4,23.75,1473.9947575947765,1489.2692517555636,-15.274494160787071,-1,A
13.33,6.88,-6.45,53.15,12.33,-40.82,1486.7967471889997,1462.6384146315886,24.158332557411086,-1,D
9.6,4.5,-5.1,56.3,49.53,-6.78,1469.9541483129656,1495.8514449428897,-25.897296629924085,0,D
34.0,19.61,-14.4,16.87,5.53,-11.34,1488.971158407357,1528.6566611621813,-39.685502754824256,0,D
11.7,9.88,-1.83,52.39,37.72,-14.67,1524.8372396178993,1485.2816720800945,39.55556753780479,0,D
33.47,10.0,-23.47,21.12,20.82,-0.305,1552.896294972463,1487.6229420862962,65.27335288616678,0,D
25.91,26.39,0.475,20.8,0.532,-20.27,1483.966854131165,1514.476087339948,-30.509233208782916,0,A
25.74,2.46,-23.29,20.28,1.46,-18.81,1510.772743072499,1488.3672984695593,22.405444602939724,0,D
11.7,9.7,-2.0,34.48,35.55,1.07,1554.669107476863,1487.7606616382589,66.90844583860417,0,D
21.12,20.82,-0.305,13.33,6.88,-6.45,1513.1622730916038,1471.0701584087158,42.092114682887996,1,H
20.8,0.532,-20.27,19.0,26.28,7.28,1516.325396012388,1470.7554258102869,45.5699702021011,0,D
34.48,35.55,1.07,9.6,4.5,-5.1,1490.6141433496916,1490.6771064895609,-0.06296313986922542,-1,A
53.15,12.33,-40.82,25.74,2.46,-23.29,1494.7354348471397,1509.806760979414,-15.071326132274407,1,H
20.28,1.46,-18.81,25.91,26.39,0.475,1489.3332805626442,1496.891119106244,-7.557838543599928,-1,A
0.0,0.145,0.145,33.47,10.0,-23.47,1503.6102233661331,1485.2806683795093,18.32955498662386,-1,A
18.65,42.4,23.75,6.61,8.94,2.34,1478.6797360103014,1459.653785984207,19.025950026094506,0,D
56.3,49.53,-6.78,11.7,9.88,-1.83,1526.9507130799775,1550.1109117373337,-23.160198657356204,1,H
52.39,37.72,-14.67,34.0,19.61,-14.4,1490.4083253214258,1523.1368289659438,-32.728503644518014,1,H
16.87,5.53,-11.34,11.7,9.7,-2.0,1486.98208273205,1551.8156257654302,-64.83354303338024,0,D
56.3,49.53,-6.78,21.12,20.82,-0.305,1489.7491282894216,1506.8171636779612,-17.068035388539556,1,H
19.0,26.28,7.28,25.74,2.46,-23.29,1549.0485802080586,1534.1124840206148,14.936096187443809,-1,H
34.48,35.55,1.07,0.0,0.145,0.145,1510.3857084753604,1514.369187079769,-3.983478604408674,1,D
9.6,4.5,-5.1,18.65,42.4,23.75,1474.6595272234283,1460.4743821786676,14.185145044760702,1,D
53.15,12.33,-40.82,20.8,0.532,-20.27,1475.6168616869231,1487.8196062288537,-12.202744541930542,0,H
11.7,9.7,-2.0,11.7,9.88,-1.83,1472.7116347429055,1494.1564873511932,-21.444852608287647,1,A
20.28,1.46,-18.81,6.61,8.94,2.34,1542.9491407966962,1526.3538495036837,16.59529129301245,1,H
16.87,5.53,-11.34,52.39,37.72,-14.67,1505.6743881523294,1477.8591398158408,27.815248336488594,0,H
13.33,6.88,-6.45,34.0,19.61,-14.4,1457.878581996636,1506.7279906094084,-48.84940861277232,-1,A
33.47,10.0,-23.47,25.91,26.39,0.475,1501.0712855167887,1511.5648724454595,-10.493586928670766,-1,A
6.61,8.94,2.34,9.6,4.5,-5.1,1479.0574615385565,1557.23320886203,-78.17574732347362,-1,A
20.8,0.532,-20.27,33.47,10.0,-23.47,1478.2318126044631,1444.9737923874804,33.258020216982686,1,H
52.39,37.72,-14.67,19.0,26.28,7.28,1526.111965588264,1476.1434799946514,49.96848559361251,-1,H
34.0,19.61,-14.4,11.7,9.7,-2.0,1549.756930177116,1525.5576815358556,24.199248641260283,1,H
11.7,9.88,-1.83,53.15,12.33,-40.82,1519.632780218564,1533.404134051557,-13.7713538329931,1,H
25.91,26.39,0.475,34.48,35.55,1.07,1499.1972140192738,1486.5241923739843,12.67302164528951,1,A
25.74,2.46,-23.29,13.33,6.88,-6.45,1446.0864640570246,1504.476066429614,-58.38960237258948,-1,H
18.65,42.4,23.75,56.3,49.53,-6.78,1491.080869569744,1488.6363094896358,2.4445600801082037,1,A
21.12,20.82,-0.305,16.87,5.53,-11.34,1512.0697814383498,1505.4854223976388,6.584359040710979,0,D
0.0,0.145,0.145,20.28,1.46,-18.81,1487.2929879211254,1489.0474453450713,-1.7544574239459507,-1,A
56.3,49.53,-6.78,20.28,1.46,-18.81,1505.769658001279,1473.7418478905554,32.02781011072352,1,H
21.12,20.82,-0.305,20.8,0.532,-20.27,1467.376751083766,1508.9694048756496,-41.59265379188355,1,H
52.39,37.72,-14.67,25.74,2.46,-23.29,1563.7138508367473,1472.3687332931204,91.34511754362688,1,H
9.6,4.5,-5.1,33.47,10.0,-23.47,1517.8098880878194,1431.4052868837912,86.40460120402827,1,H
11.7,9.7,-2.0,13.33,6.88,-6.45,1505.9753311688244,1491.8003181081524,14.175013060671972,1,H
11.7,9.88,-1.83,0.0,0.145,0.145,1511.7855458347096,1513.650318218239,-1.8647723835292709,1,H
16.87,5.53,-11.34,19.0,26.28,7.28,1568.91391931682,1503.9716999730765,64.94221934374355,1,H
