Date,HomeTeam,AwayTeam,FTR,HomeFTHG_all_avg_25,AwayFTHG_all_avg_25,HomeFTAG_all_avg_25,AwayFTAG_all_avg_25,HomeHTHG_all_avg_25,AwayHTHG_all_avg_25,HomeHTAG_all_avg_25,AwayHTAG_all_avg_25,HomeHS_all_avg_25,AwayHS_all_avg_25,HomeAS_all_avg_25,AwayAS_all_avg_25,HomeHST_all_avg_25,AwayHST_all_avg_25,HomeAST_all_avg_25,AwayAST_all_avg_25,HomeHC_all_avg_25,AwayHC_all_avg_25,HomeAC_all_avg_25,AwayAC_all_avg_25,HomeHF_all_avg_25,AwayHF_all_avg_25,HomeAF_all_avg_25,AwayAF_all_avg_25,HomeHY_all_avg_25,AwayHY_all_avg_25,HomeAY_all_avg_25,AwayAY_all_avg_25,HomeHR_all_avg_25,AwayHR_all_avg_25,HomeAR_all_avg_25,AwayAR_all_avg_25,HomeFTHG_same_avg_2,AwayFTAG_same_avg_2,HomeHTHG_same_avg_2,AwayHTAG_same_avg_2,HomeHS_same_avg_2,AwayAS_same_avg_2,HomeHST_same_avg_2,AwayAST_same_avg_2,HomeHC_same_avg_2,AwayAC_same_avg_2,HomeHF_same_avg_2,AwayAF_same_avg_2,HomeHY_same_avg_2,AwayAY_same_avg_2,HomeHR_same_avg_2,AwayAR_same_avg_2
2004-03-27,Birmingham,Leeds,H,1.36,2.12,1.2,1.28,0.52,0.96,0.44,0.6,9.0,16.92,9.08,8.28,5.16,7.52,5.28,4.56,5.56,6.6,5.56,4.44,13.96,11.36,17.24,14.2,1.2,1.04,1.92,2.16,0.08,0.0,0.2,0.08,,,,,,,,,,,,,,,,
2004-03-27,Blackburn,Portsmouth,A,1.32,,1.24,,0.8,,0.44,,13.0,,11.0,,6.88,,5.52,,6.68,,4.88,,12.16,,12.08,,1.52,,1.28,,0.08,,0.0,,,,,,,,,,,,,,,,,
2004-03-27,Charlton,Aston Villa,A,1.52,1.64,1.6,1.28,0.72,0.68,0.68,0.6,11.4,12.52,13.32,10.8,6.12,6.64,7.16,5.32,5.8,6.16,6.2,5.64,12.24,12.08,12.28,14.36,1.2,1.16,1.16,1.56,0.12,0.04,0.0,0.08,2.0,1.0,0.0,1.0,11.5,10.0,7.0,4.5,4.5,4.0,12.0,15.5,1.5,1.5,0.0,0.0
2004-03-27,Chelsea,Wolves,H,1.92,,0.8,,1.08,,0.48,,13.2,,6.36,,6.48,,3.24,,6.16,,2.96,,11.04,,12.76,,1.4,,1.72,,0.08,,0.24,,,,,,,,,,,,,,,,,
2004-03-27,Everton,Middlesbrough,D,1.44,1.36,1.0,1.0,0.48,0.64,0.52,0.52,13.24,14.2,10.76,8.24,7.08,8.08,5.6,4.32,7.24,6.88,5.0,3.96,11.56,14.76,15.04,13.92,1.64,1.48,2.04,1.68,0.12,0.08,0.04,0.16,2.0,0.5,1.0,0.5,10.0,7.5,6.5,3.0,6.5,5.0,21.5,17.5,2.0,1.0,0.0,0.0
2004-03-27,Man City,Fulham,D,1.52,1.68,1.28,0.96,0.52,0.88,0.64,0.36,15.76,13.64,7.72,9.72,8.88,7.68,4.4,5.08,7.6,7.36,4.6,3.84,10.16,12.84,11.44,13.32,1.08,1.44,1.6,1.84,0.08,0.16,0.08,0.12,,,,,,,,,,,,,,,,
2004-03-27,Southampton,Tottenham,H,1.16,1.68,0.84,0.96,0.44,0.64,0.4,0.4,12.6,14.4,11.84,8.24,6.88,8.56,6.84,4.44,6.32,6.68,4.72,5.16,12.88,11.88,14.32,13.68,1.32,1.32,1.36,1.92,0.04,0.0,0.08,0.08,1.0,0.0,0.0,0.0,9.0,10.5,5.5,6.5,4.5,9.0,15.0,10.5,0.0,1.5,0.0,0.0
2004-03-28,Leicester,Liverpool,D,1.0,1.24,1.64,1.52,0.44,0.6,0.56,0.6,10.4,10.24,10.56,12.0,5.96,5.08,5.56,6.72,6.16,6.0,5.36,5.16,13.4,14.44,13.24,12.28,1.28,1.56,1.48,1.72,0.08,0.16,0.08,0.16,1.5,2.0,0.0,1.5,8.5,10.0,5.0,4.5,5.0,6.5,10.0,10.0,1.0,1.5,0.0,0.0
2004-03-28,Bolton,Newcastle,H,1.32,1.36,1.2,1.28,0.6,0.56,0.52,0.6,14.8,11.56,8.96,10.44,8.12,6.2,5.08,5.56,7.28,5.08,4.84,6.04,12.28,13.48,13.16,12.8,1.6,1.16,1.92,1.4,0.04,0.04,0.2,0.12,2.0,3.5,1.5,1.0,10.0,14.5,5.0,8.0,6.5,8.0,11.0,12.5,1.5,2.0,0.5,0.0
2004-03-28,Arsenal,Man United,D,2.24,1.08,0.92,1.72,1.16,0.36,0.4,0.96,15.12,10.6,7.24,12.52,9.04,4.88,3.44,7.32,7.32,5.44,4.4,5.4,12.4,12.08,15.0,11.56,1.4,1.56,2.04,1.12,0.08,0.08,0.16,0.04,2.5,1.5,0.0,1.0,12.0,4.0,8.5,2.0,8.5,2.0,13.5,17.0,1.0,2.5,0.5,0.0
2004-04-03,Fulham,Birmingham,D,1.48,1.36,1.04,0.92,0.68,0.64,0.48,0.32,11.8,13.32,9.68,8.04,5.96,7.28,5.24,3.92,5.0,6.48,6.88,4.56,12.64,14.52,13.84,12.76,1.16,1.4,2.0,1.6,0.08,0.28,0.12,0.12,,,,,,,,,,,,,,,,
2004-04-03,Middlesbrough,Bolton,H,1.44,1.52,1.32,0.88,0.6,0.6,0.64,0.4,12.64,12.16,10.36,10.52,6.48,7.04,5.0,5.04,5.2,6.24,4.6,4.16,12.16,13.04,13.24,11.24,1.08,1.16,1.8,2.0,0.0,0.04,0.16,0.0,1.5,0.5,1.0,0.0,12.0,9.0,2.5,4.0,3.5,5.5,12.5,13.5,0.5,2.0,0.0,0.0
2004-04-03,Newcastle,Everton,H,1.76,1.8,0.84,1.04,0.88,0.84,0.36,0.56,13.52,13.44,8.84,9.08,8.04,7.6,4.84,4.4,7.12,6.08,4.36,5.72,12.12,12.2,13.24,13.64,0.88,1.04,1.72,1.48,0.04,0.04,0.12,0.16,4.0,1.5,1.0,1.5,21.0,7.0,12.0,4.5,7.5,1.5,9.0,13.0,0.0,2.0,0.0,0.5
2004-04-03,Tottenham,Chelsea,A,1.76,1.04,1.72,1.64,0.68,0.52,0.68,0.64,13.04,10.16,12.08,11.72,7.2,5.2,7.2,6.64,6.2,4.84,5.8,5.92,13.88,11.6,11.56,12.6,1.08,1.08,1.12,1.24,0.12,0.0,0.08,0.0,1.0,1.5,0.0,0.5,13.0,10.0,5.5,4.0,7.0,4.0,13.5,12.0,2.0,3.0,0.0,0.5
2004-04-03,Wolves,Southampton,A,,1.44,,0.92,,0.68,,0.44,,14.6,,11.24,,8.0,,6.04,,6.76,,6.28,,11.84,,12.56,,0.92,,1.48,,0.0,,0.08,,,,,,,,,,,,,,,,
2004-04-04,Aston Villa,Man City,D,1.24,1.64,0.88,1.2,0.68,0.64,0.28,0.52,13.72,10.8,10.48,10.68,7.24,6.56,4.92,6.12,7.12,5.16,4.68,5.16,14.12,10.76,13.0,12.8,1.28,1.16,1.64,1.64,0.12,0.04,0.08,0.12,1.5,1.0,0.0,0.0,10.5,8.0,5.5,2.5,5.0,4.0,10.5,13.5,1.5,2.0,0.5,0.0
2004-04-04,Liverpool,Blackburn,H,1.52,1.48,0.96,1.52,0.6,0.68,0.32,0.56,15.12,12.36,8.0,9.72,8.08,7.2,4.52,4.84,7.36,5.92,4.56,4.64,11.48,11.56,14.12,14.12,0.92,1.0,1.72,1.68,0.0,0.08,0.0,0.08,2.5,2.0,1.5,0.5,13.5,9.5,6.5,6.0,7.5,5.5,8.5,9.0,1.0,1.0,0.0,0.0
2004-04-05,Leeds,Leicester,H,1.32,1.8,1.4,1.36,0.76,0.92,0.68,0.64,10.96,12.4,13.24,7.04,5.44,6.84,6.32,3.96,5.36,6.76,5.36,4.48,15.0,11.6,12.92,13.72,1.6,1.32,1.32,2.2,0.08,0.12,0.12,0.2,2.5,1.5,1.0,0.5,19.0,6.5,9.0,4.5,10.0,4.0,10.0,16.0,2.0,3.5,0.0,0.0
2004-04-09,Arsenal,Liverpool,H,2.16,1.2,0.92,1.48,1.12,0.6,0.4,0.6,15.28,10.24,7.28,12.4,9.16,5.2,3.56,7.12,7.4,5.68,4.32,5.4,12.56,14.48,14.92,12.48,1.36,1.68,1.96,1.72,0.08,0.16,0.16,0.16,1.0,1.0,0.0,0.0,12.0,7.0,5.0,2.0,9.0,2.5,14.5,15.5,1.0,2.0,0.0,0.0
2004-04-09,Everton,Tottenham,H,1.48,1.68,1.04,0.92,0.48,0.64,0.52,0.4,13.2,14.6,11.04,8.56,7.0,8.76,5.76,4.68,7.24,7.04,5.0,5.32,11.76,11.44,15.04,13.68,1.6,1.28,1.96,2.0,0.12,0.0,0.04,0.08,1.5,1.5,0.5,0.5,15.5,8.5,10.0,3.5,9.0,2.5,16.5,8.0,2.0,1.5,0.0,1.0
2004-04-10,Birmingham,Man United,A,1.48,1.08,1.2,1.76,0.52,0.32,0.44,0.96,9.44,10.92,9.2,12.56,5.32,5.16,5.36,7.4,5.84,5.48,5.68,5.36,13.76,12.36,17.12,11.88,1.16,1.6,1.92,1.12,0.08,0.08,0.16,0.04,,,,,,,,,,,,,,,,
2004-04-10,Blackburn,Leeds,A,1.28,2.24,1.28,1.32,0.8,0.96,0.48,0.64,13.24,17.2,10.96,8.48,7.08,7.68,5.4,4.68,6.64,6.52,4.76,4.68,11.84,11.4,11.84,14.36,1.48,0.92,1.2,2.04,0.08,0.0,0.0,0.08,1.0,1.0,0.5,0.0,12.5,8.5,6.5,6.0,7.5,4.5,19.5,16.0,1.0,3.5,0.0,0.0
2004-04-10,Bolton,Aston Villa,D,1.36,1.56,1.08,1.32,0.64,0.68,0.44,0.6,14.92,12.44,9.2,11.12,8.24,6.6,5.08,5.56,7.36,6.0,5.0,5.8,12.36,12.12,13.0,14.48,1.6,1.2,1.88,1.56,0.04,0.04,0.2,0.08,2.0,1.0,1.0,1.0,11.0,10.5,6.0,4.0,3.0,5.0,12.5,12.0,2.5,2.0,0.0,0.0
2004-04-10,Charlton,Portsmouth,D,1.48,,1.6,,0.76,,0.72,,11.36,,13.52,,6.28,,7.24,,5.72,,6.56,,12.2,,12.36,,1.16,,1.16,,0.12,,0.0,,,,,,,,,,,,,,,,,
2004-04-10,Chelsea,Middlesbrough,D,2.04,1.32,0.88,1.04,1.08,0.6,0.52,0.52,13.16,13.72,6.24,8.52,6.56,7.8,3.24,4.48,6.2,6.68,2.96,4.0,10.92,15.08,12.52,13.88,1.4,1.44,1.68,1.64,0.08,0.08,0.24,0.12,1.5,1.0,1.0,0.0,10.5,5.5,4.0,3.0,6.5,4.5,13.0,13.0,3.0,1.0,0.0,0.0
2004-04-10,Leicester,Fulham,A,1.0,1.6,1.64,0.96,0.44,0.84,0.56,0.36,10.6,13.36,10.96,9.68,6.16,7.28,5.92,5.16,6.2,7.2,5.32,3.64,13.32,13.12,13.28,13.32,1.36,1.48,1.52,1.76,0.08,0.16,0.08,0.08,,,,,,,,,,,,,,,,
2004-04-10,Man City,Wolves,D,1.44,,1.16,,0.48,,0.6,,15.48,,7.56,,8.32,,4.12,,7.44,,4.28,,10.4,,11.56,,1.04,,1.48,,0.08,,0.04,,,,,,,,,,,,,,,,,
2004-04-11,Newcastle,Arsenal,D,1.84,0.76,0.88,2.08,0.92,0.28,0.4,1.0,13.44,9.96,9.0,11.56,7.96,5.28,4.84,7.0,7.04,6.4,4.48,4.8,12.2,13.48,13.04,13.08,0.84,1.72,1.64,1.36,0.04,0.12,0.12,0.08,0.5,1.5,0.0,1.5,9.5,13.5,5.0,8.0,5.5,7.5,14.0,13.5,1.0,1.5,0.5,0.0
2004-04-12,Tottenham,Man City,D,1.68,1.6,1.68,1.16,0.68,0.68,0.68,0.52,12.72,10.56,12.08,10.4,7.0,6.48,7.2,5.92,6.04,5.16,5.88,5.2,13.88,10.8,11.52,12.84,1.08,1.12,1.08,1.68,0.08,0.04,0.08,0.12,0.0,1.0,0.0,1.0,13.5,9.0,5.5,4.0,6.0,6.5,10.5,14.5,1.0,2.5,0.0,0.0
2004-04-12,Portsmouth,Birmingham,H,,1.28,,0.92,,0.64,,0.32,,13.04,,8.04,,7.16,,3.88,,6.4,,4.28,,15.2,,13.4,,1.56,,1.6,,0.28,,0.12,,,,,,,,,,,,,,,,
2004-04-12,Middlesbrough,Southampton,H,1.48,1.44,1.28,1.04,0.6,0.68,0.6,0.48,12.68,14.16,10.24,11.36,6.48,7.68,4.88,6.28,5.28,6.6,4.6,6.36,12.32,11.72,13.28,12.32,1.16,1.0,1.84,1.48,0.0,0.0,0.16,0.08,1.5,2.5,0.0,0.5,8.5,12.5,3.5,6.0,6.5,2.0,11.5,13.5,0.0,1.5,0.0,0.0
2004-04-12,Wolves,Bolton,A,,1.6,,0.88,,0.64,,0.4,,11.96,,10.92,,6.92,,5.32,,6.2,,4.32,,13.12,,11.32,,1.2,,1.92,,0.04,,0.0,,,,,,,,,,,,,,,,
2004-04-12,Fulham,Blackburn,A,1.48,1.6,1.0,1.48,0.68,0.76,0.44,0.56,11.76,12.84,9.84,9.68,6.16,7.4,5.24,4.72,4.88,5.88,6.92,4.64,13.16,11.56,13.84,14.28,1.2,0.96,1.8,1.68,0.08,0.08,0.08,0.08,1.0,2.0,0.5,1.0,11.0,8.5,6.0,4.5,4.0,3.0,13.5,17.0,1.5,2.0,0.0,0.5
2004-04-12,Aston Villa,Chelsea,H,1.28,1.0,0.88,1.64,0.72,0.48,0.28,0.64,13.48,10.28,10.32,11.48,7.2,5.24,4.88,6.48,7.08,4.84,4.64,5.76,14.28,11.64,13.12,12.44,1.24,1.16,1.72,1.2,0.12,0.0,0.08,0.0,1.5,1.0,1.0,0.0,13.0,12.5,6.5,6.5,4.5,5.0,10.5,11.0,1.0,0.5,0.0,0.0
2004-04-12,Liverpool,Charlton,A,1.64,1.32,0.88,1.16,0.72,0.8,0.32,0.6,15.56,15.52,8.16,8.24,8.24,8.32,4.44,4.6,7.4,7.84,4.64,5.16,11.28,11.68,14.08,13.04,0.88,1.56,1.6,1.16,0.0,0.08,0.0,0.04,2.0,0.5,1.0,0.0,17.0,5.5,9.0,3.0,7.0,7.5,5.0,12.0,0.5,1.5,0.0,0.0
2004-04-13,Leeds,Everton,D,1.36,1.88,1.48,1.08,0.76,0.92,0.68,0.56,11.32,12.96,13.12,9.32,5.68,7.32,6.52,4.44,5.52,5.84,5.52,6.0,14.96,12.12,12.84,13.2,1.6,1.04,1.36,1.44,0.12,0.04,0.12,0.12,1.5,1.5,1.0,0.0,18.0,10.0,6.0,5.0,7.0,5.5,13.0,16.5,2.0,2.0,0.0,0.0
2004-04-13,Man United,Leicester,H,2.36,1.84,0.76,1.36,1.16,0.96,0.36,0.64,15.44,12.44,9.12,7.4,8.6,6.96,4.2,4.16,7.28,6.72,3.84,4.8,10.28,12.12,11.92,13.68,0.92,1.36,1.52,2.12,0.0,0.16,0.12,0.2,2.0,0.0,0.5,0.0,16.5,6.5,7.5,3.0,12.0,3.0,10.5,11.5,1.5,1.0,0.0,0.0
2004-04-16,Arsenal,Leeds,H,2.24,2.28,1.0,1.28,1.12,0.96,0.48,0.6,14.72,16.88,7.64,8.44,8.88,7.6,3.72,4.52,6.96,6.56,4.52,4.72,12.88,11.6,14.72,14.32,1.44,0.96,1.88,2.0,0.08,0.0,0.12,0.08,1.5,2.5,1.0,1.0,23.5,8.0,11.0,4.0,8.0,2.0,22.0,22.5,3.0,3.0,0.0,1.0
2004-04-17,Wolves,Middlesbrough,H,,1.28,,1.04,,0.56,,0.52,,14.04,,8.4,,7.8,,4.52,,6.8,,3.76,,14.92,,13.92,,1.36,,1.6,,0.08,,0.08,,,,,,,,,,,,,,,,
2004-04-17,Portsmouth,Man United,H,,1.0,,1.8,,0.32,,0.96,,10.84,,12.4,,5.28,,7.4,,5.28,,5.16,,12.52,,11.8,,1.56,,1.08,,0.08,,0.04,,,,,,,,,,,,,,,,
2004-04-17,Man City,Southampton,A,1.44,1.56,1.24,1.08,0.52,0.76,0.64,0.48,15.52,14.72,7.72,11.6,8.24,8.24,4.28,6.36,7.36,6.6,4.2,6.28,10.36,11.64,11.6,12.4,1.04,0.96,1.48,1.4,0.08,0.0,0.04,0.08,0.0,1.0,0.0,0.5,16.0,6.0,7.0,2.0,7.5,5.0,14.5,14.5,2.0,2.5,0.0,0.0
2004-04-17,Liverpool,Fulham,D,1.64,1.56,0.92,1.0,0.72,0.84,0.32,0.36,16.0,13.32,8.2,9.6,8.56,7.36,4.48,5.12,7.4,7.52,4.64,3.76,11.2,13.0,13.96,13.48,0.8,1.48,1.44,1.72,0.0,0.12,0.0,0.08,1.0,0.0,0.5,0.0,16.5,9.5,9.0,5.5,6.0,4.5,13.0,14.0,0.5,1.0,0.0,0.0
2004-04-17,Chelsea,Everton,D,2.04,1.92,0.88,1.12,1.08,0.92,0.52,0.6,13.48,12.96,6.2,9.44,6.76,7.28,3.2,4.52,6.2,5.96,2.84,6.04,10.8,12.04,12.36,12.88,1.4,1.0,1.64,1.32,0.08,0.04,0.24,0.12,3.5,0.5,1.5,0.0,16.0,7.5,8.5,3.5,5.5,4.0,8.5,12.5,0.5,1.0,0.0,0.0
2004-04-17,Bolton,Tottenham,H,1.28,1.72,1.04,0.84,0.52,0.72,0.44,0.36,15.12,14.36,8.92,8.68,8.24,8.44,4.88,4.6,7.36,7.08,4.84,5.12,12.28,11.56,12.84,13.96,1.6,1.2,1.92,2.0,0.04,0.0,0.2,0.08,1.0,0.5,0.0,0.5,14.0,8.5,7.0,3.0,8.5,6.0,10.5,12.0,0.5,2.0,0.0,0.0
2004-04-17,Blackburn,Leicester,H,1.28,1.8,1.36,1.36,0.76,0.96,0.52,0.64,13.24,12.6,10.8,7.76,7.24,7.2,5.28,4.32,6.6,6.88,4.6,4.56,12.08,12.48,11.96,13.88,1.56,1.36,1.24,2.16,0.08,0.16,0.0,0.2,,,,,,,,,,,,,,,,
2004-04-17,Charlton,Birmingham,D,1.48,1.4,1.64,0.92,0.76,0.68,0.72,0.28,11.4,13.24,13.2,8.2,6.2,7.4,7.24,3.92,5.72,6.28,6.24,4.4,12.24,15.52,11.88,12.96,1.12,1.48,1.08,1.4,0.12,0.28,0.0,0.12,,,,,,,,,,,,,,,,
2004-04-18,Aston Villa,Newcastle,D,1.32,1.36,0.92,1.24,0.72,0.6,0.28,0.6,12.76,11.72,10.04,10.36,6.84,6.32,4.84,5.4,7.04,5.04,4.64,6.0,13.8,13.44,13.12,12.76,1.12,1.2,1.72,1.48,0.08,0.04,0.08,0.12,0.5,1.0,0.5,0.5,14.0,8.5,5.5,3.0,8.5,3.5,10.5,12.5,1.0,0.0,0.0,0.0
2004-04-20,Man United,Charlton,H,2.28,1.28,0.76,1.16,1.08,0.8,0.36,0.56,15.52,16.2,9.2,8.16,8.68,8.76,4.28,4.52,7.28,7.92,3.84,5.12,10.24,11.56,11.92,12.88,0.92,1.44,1.6,1.0,0.0,0.04,0.12,0.04,2.0,0.5,1.5,0.5,17.0,7.5,10.0,4.0,9.0,3.5,7.0,8.5,1.0,0.5,0.0,0.0
2004-04-24,Middlesbrough,Aston Villa,A,1.48,1.6,1.28,1.36,0.64,0.64,0.6,0.64,13.16,12.32,10.32,11.08,7.0,6.44,4.96,5.56,5.32,5.88,4.4,5.88,12.48,12.08,13.36,14.24,1.12,1.2,1.8,1.6,0.0,0.04,0.16,0.08,2.0,3.0,1.5,1.0,10.0,13.5,5.5,9.0,5.5,5.5,11.0,13.0,0.5,1.0,0.0,0.0
2004-04-24,Southampton,Bolton,A,1.16,1.56,0.8,0.96,0.44,0.64,0.4,0.44,12.68,11.8,11.76,11.08,6.96,6.76,6.76,5.32,6.4,6.08,4.64,4.36,12.72,13.04,14.52,11.6,1.32,1.2,1.44,1.96,0.04,0.04,0.08,0.0,0.0,0.0,0.0,0.0,9.0,7.0,3.0,2.0,6.5,4.5,18.0,9.0,2.0,2.5,0.5,0.0
2004-04-24,Man United,Liverpool,A,2.28,1.32,0.76,1.56,1.08,0.6,0.36,0.68,15.04,10.4,9.12,12.68,8.52,5.28,4.2,7.16,7.08,5.6,3.8,5.56,10.16,14.88,11.88,12.04,0.88,1.76,1.56,1.64,0.0,0.16,0.12,0.12,2.0,0.5,0.5,0.0,12.0,7.0,6.0,3.0,10.5,3.0,15.0,16.5,1.0,2.5,0.0,0.5
2004-04-24,Leicester,Man City,D,0.96,1.64,1.6,1.16,0.44,0.68,0.48,0.56,10.88,10.56,10.8,10.24,6.36,6.6,5.76,5.92,6.52,5.16,5.2,4.8,13.36,10.92,13.52,13.12,1.36,1.16,1.52,1.68,0.08,0.04,0.08,0.12,,,,,,,,,,,,,,,,
2004-04-24,Fulham,Charlton,H,1.6,1.28,1.12,1.08,0.76,0.84,0.48,0.52,11.56,15.8,9.76,7.96,6.16,8.52,5.2,4.24,4.96,7.88,6.44,5.16,13.36,11.56,13.84,12.76,1.2,1.36,1.76,1.0,0.08,0.0,0.08,0.04,0.5,0.0,0.5,0.0,9.5,11.0,4.5,5.0,4.0,8.5,7.0,13.5,1.5,1.5,0.0,0.0
2004-04-24,Everton,Blackburn,A,1.52,1.72,1.0,1.64,0.56,0.84,0.48,0.6,13.24,12.88,11.16,9.64,7.2,7.52,5.96,4.84,7.4,6.0,5.12,4.52,11.6,11.32,14.84,14.36,1.56,0.92,2.0,1.56,0.12,0.08,0.08,0.08,1.5,1.5,1.0,1.0,11.0,15.5,5.5,7.5,7.0,7.5,13.0,12.5,1.5,2.0,0.0,0.5
2004-04-25,Birmingham,Wolves,D,1.52,,1.12,,0.56,,0.36,,9.48,,9.12,,5.48,,5.24,,5.56,,5.6,,13.68,,16.84,,1.08,,1.84,,0.08,,0.16,,,,,,,,,,,,,,,,,
2004-04-25,Leeds,Portsmouth,A,1.32,,1.52,,0.72,,0.72,,11.4,,13.08,,5.72,,6.48,,5.72,,5.4,,14.88,,12.96,,1.64,,1.32,,0.12,,0.12,,,,,,,,,,,,,,,,,
2004-04-25,Newcastle,Chelsea,H,1.8,1.04,0.88,1.72,0.88,0.44,0.4,0.68,13.48,10.24,9.24,11.04,7.96,5.2,4.88,6.4,7.08,5.0,4.48,5.56,12.52,11.16,12.72,12.36,0.8,1.08,1.56,1.24,0.04,0.0,0.08,0.0,1.5,1.5,1.0,1.5,7.5,10.0,4.5,6.5,5.0,5.0,11.5,21.5,0.0,2.0,0.0,0.0
2004-04-25,Tottenham,Arsenal,D,1.56,0.72,1.6,2.0,0.64,0.24,0.68,1.0,12.6,10.08,11.92,11.56,6.92,5.4,7.12,7.04,5.84,6.4,5.64,4.68,13.8,13.24,11.96,13.24,1.08,1.68,1.08,1.4,0.08,0.12,0.08,0.08,1.0,1.0,0.5,0.5,11.5,5.5,7.0,4.5,7.0,6.0,16.0,13.5,2.5,1.5,0.0,0.0
2004-05-01,Arsenal,Birmingham,D,2.4,1.36,0.96,0.96,1.24,0.64,0.48,0.28,14.8,12.84,7.56,8.2,8.96,7.2,3.72,4.0,6.48,6.12,4.68,4.36,12.72,15.6,14.52,12.96,1.4,1.48,1.76,1.32,0.08,0.28,0.12,0.12,,,,,,,,,,,,,,,,
2004-05-01,Blackburn,Man United,H,1.24,1.0,1.28,1.68,0.76,0.32,0.48,0.88,13.28,10.84,10.84,12.8,7.28,5.32,5.4,7.72,6.52,5.32,4.72,5.44,12.28,12.68,12.04,11.84,1.52,1.64,1.2,1.08,0.08,0.08,0.0,0.04,1.5,1.0,0.5,0.5,10.5,15.0,4.0,6.5,5.0,8.0,13.0,13.0,1.0,1.0,0.5,0.0
2004-05-01,Charlton,Leicester,D,1.48,1.76,1.64,1.28,0.76,0.96,0.72,0.56,11.48,12.88,13.08,7.52,6.2,7.24,7.2,4.16,5.8,6.8,6.08,4.32,12.36,12.68,11.76,13.84,1.16,1.36,1.08,2.08,0.12,0.08,0.0,0.16,2.0,0.0,1.0,0.0,15.0,7.0,10.5,3.5,5.0,3.0,12.0,10.0,1.5,2.0,0.5,0.5
2004-05-01,Chelsea,Southampton,H,1.88,1.52,0.84,1.12,0.96,0.76,0.48,0.48,13.52,14.84,6.16,11.28,6.72,8.36,3.16,6.24,6.2,6.56,2.84,6.24,10.88,11.8,12.24,12.36,1.24,1.0,1.52,1.36,0.08,0.0,0.24,0.08,1.0,2.0,1.0,0.5,12.0,9.0,5.0,5.5,4.0,5.5,13.5,15.0,1.5,1.5,0.0,0.0
2004-05-01,Man City,Newcastle,H,1.4,1.2,1.32,1.12,0.48,0.48,0.68,0.56,15.68,11.68,7.92,10.0,8.32,6.08,4.36,5.24,7.28,5.08,4.0,5.8,10.44,13.64,11.48,12.64,1.08,1.2,1.36,1.56,0.08,0.04,0.04,0.16,0.5,0.5,0.5,0.0,14.5,12.0,9.5,7.5,8.0,8.0,14.0,13.0,0.5,1.0,0.0,0.0
2004-05-01,Portsmouth,Fulham,D,,1.56,,1.0,,0.84,,0.36,,13.36,,9.52,,7.56,,5.08,,7.8,,3.88,,13.04,,13.24,,1.44,,1.76,,0.12,,0.08,,,,,,,,,,,,,,,,
2004-05-01,Wolves,Everton,H,,1.88,,1.08,,0.88,,0.56,,13.36,,9.32,,7.4,,4.48,,6.28,,6.04,,11.84,,12.44,,0.96,,1.28,,0.04,,0.08,,,,,,,,,,,,,,,,
2004-05-02,Bolton,Leeds,H,1.36,2.44,1.04,1.2,0.56,1.04,0.44,0.6,15.04,16.76,8.56,8.28,8.44,7.68,4.56,4.44,7.52,6.36,4.88,4.92,12.4,11.52,13.04,14.28,1.6,0.96,1.92,1.96,0.04,0.0,0.2,0.08,0.0,3.0,0.0,2.0,17.0,8.5,5.5,6.0,8.0,2.5,12.0,17.0,1.0,3.0,0.0,0.0
2004-05-02,Liverpool,Middlesbrough,H,1.6,1.32,0.88,1.04,0.68,0.6,0.32,0.52,16.24,13.84,8.24,8.76,8.72,7.72,4.56,4.8,7.68,6.84,4.76,4.0,11.52,14.72,14.12,14.0,0.76,1.4,1.52,1.68,0.0,0.08,0.0,0.08,1.5,0.5,1.0,0.5,12.5,3.0,7.5,2.0,9.0,4.5,11.5,11.0,0.0,2.0,0.0,0.0
2004-05-02,Aston Villa,Tottenham,H,1.28,1.72,0.92,0.8,0.68,0.72,0.28,0.36,12.72,14.4,9.76,8.48,6.52,8.44,4.84,4.36,7.2,7.24,4.44,5.08,13.92,11.92,13.36,14.32,1.04,1.2,1.8,2.0,0.08,0.0,0.08,0.08,0.5,1.0,0.0,0.5,11.5,8.5,6.0,5.0,11.5,3.0,10.5,10.5,0.5,3.0,0.0,0.0
2004-05-04,Portsmouth,Arsenal,D,,0.8,,1.92,,0.24,,1.0,,10.2,,11.44,,5.52,,6.96,,6.4,,4.64,,13.28,,13.16,,1.64,,1.36,,0.12,,0.08,,,,,,,,,,,,,,,,
2004-05-08,Southampton,Aston Villa,D,1.12,1.56,0.84,1.24,0.48,0.6,0.4,0.6,12.32,13.04,12.04,10.96,6.84,6.96,7.04,5.56,5.8,6.12,4.6,6.08,12.96,12.04,14.44,14.4,1.44,1.16,1.48,1.56,0.04,0.04,0.08,0.12,1.5,2.5,1.0,2.0,11.5,12.0,5.5,7.0,3.0,3.0,11.5,17.5,0.5,1.5,0.5,0.5
2004-05-08,Birmingham,Liverpool,A,1.6,1.32,1.16,1.56,0.64,0.6,0.4,0.64,9.84,10.52,8.96,12.36,5.72,5.28,5.24,7.04,5.8,5.48,5.48,5.56,13.76,15.32,16.8,12.24,1.08,1.8,1.8,1.64,0.08,0.16,0.16,0.12,,,,,,,,,,,,,,,,
