Date,HomeTeam,AwayTeam,FTR,HomeAvgGoal_25,AwayAvgGoal_25
2000-11-25,Middlesbrough,Bradford,D,,
2000-11-25,Southampton,West Ham,A,,
2000-11-25,Tottenham,Leicester,H,,
2000-11-26,Leeds,Arsenal,H,,
2000-11-26,Newcastle,Liverpool,H,,
2000-12-02,West Ham,Middlesbrough,H,,
2000-12-02,Liverpool,Charlton,H,,
2000-12-02,Leicester,Leeds,H,,
2000-12-02,Man United,Tottenham,H,,
2000-12-02,Bradford,Coventry,H,,
2000-12-02,Aston Villa,Newcastle,D,,
2000-12-02,Arsenal,Southampton,H,,
2000-12-02,Ipswich,Derby,A,,
2000-12-03,Chelsea,Man City,H,,
2000-12-04,Sunderland,Everton,H,,
2000-12-09,West Ham,Aston Villa,D,,
2000-12-09,Sunderland,Middlesbrough,H,,
2000-12-09,Southampton,Leeds,H,,
2000-12-09,Man City,Everton,H,,
2000-12-09,Chelsea,Derby,H,,
2000-12-09,Bradford,Tottenham,D,,
2000-12-09,Arsenal,Newcastle,H,,
2000-12-09,Charlton,Man United,D,,
2000-12-10,Coventry,Leicester,H,,
2000-12-10,Liverpool,Ipswich,A,,
2000-12-16,Middlesbrough,Chelsea,H,,
2000-12-16,Newcastle,Bradford,H,,
2000-12-16,Leicester,Charlton,H,,
2000-12-16,Leeds,Sunderland,H,,
2000-12-16,Ipswich,Southampton,H,,
2000-12-16,Everton,West Ham,D,,
2000-12-16,Derby,Coventry,H,,
2000-12-16,Aston Villa,Man City,D,,
2000-12-17,Man United,Liverpool,A,,
2000-12-18,Tottenham,Arsenal,D,,
2000-12-22,Coventry,Southampton,D,,
2000-12-23,Sunderland,Man City,H,,
2000-12-23,Man United,Ipswich,H,,
2000-12-23,Liverpool,Arsenal,H,,
2000-12-23,Leicester,West Ham,H,,
2000-12-23,Leeds,Aston Villa,A,,
2000-12-23,Derby,Newcastle,H,,
2000-12-23,Tottenham,Middlesbrough,D,,
2000-12-23,Charlton,Everton,H,,
2000-12-23,Chelsea,Bradford,H,,
2000-12-26,Newcastle,Leeds,H,,
2000-12-26,Aston Villa,Man United,A,,
2000-12-26,Middlesbrough,Liverpool,H,,
2000-12-26,West Ham,Charlton,H,,
2000-12-26,Man City,Derby,D,,
2000-12-26,Arsenal,Leicester,H,,
2000-12-26,Everton,Coventry,A,,
2000-12-26,Bradford,Sunderland,A,,
2000-12-26,Ipswich,Chelsea,D,,
2000-12-27,Southampton,Tottenham,H,,
2000-12-30,Southampton,Derby,H,,
2000-12-30,Arsenal,Sunderland,D,,
2000-12-30,Ipswich,Tottenham,H,,
