FTR,HomeTeamExpenditure,HomeTeamIncome,HomeTeamBalance,AwayTeamExpenditure,AwayTeamIncome,AwayTeamBalance
A,9.1,5.71,-3.39,91.5,34.6,-56.9
A,6.55,4.63,-1.93,21.59,0.55,-21.04
D,18.78,12.15,-6.63,12.1,7.95,-4.15
D,5.93,1.43,-4.5,15.3,9.08,-6.23
A,9.4,2.7,-6.7,61.75,30.9,-30.85
D,44.06,19.04,-25.02,31.8,7.9,-23.9
A,12.48,32.5,20.03,6.2,0.0,-6.2
D,15.77,5.63,-10.15,13.96,0.0,-13.96
H,46.0,25.0,-21.0,32.53,7.0,-25.53
D,12.1,7.95,-4.15,44.06,19.04,-25.02
H,6.2,0.0,-6.2,18.78,12.15,-6.63
H,91.5,34.6,-56.9,16.54,6.4,-10.14
A,32.53,7.0,-25.53,15.77,5.63,-10.15
A,31.8,7.9,-23.9,9.4,2.7,-6.7
H,61.75,30.9,-30.85,12.48,32.5,20.03
A,15.3,9.08,-6.23,9.1,5.71,-3.39
D,21.59,0.55,-21.04,46.0,25.0,-21.0
A,13.96,0.0,-13.96,5.93,1.43,-4.5
H,36.51,25.45,-11.06,6.55,4.63,-1.93
H,9.4,2.7,-6.7,15.3,9.08,-6.23
A,9.1,5.71,-3.39,36.51,25.45,-11.06
A,6.55,4.63,-1.93,31.8,7.9,-23.9
D,18.78,12.15,-6.63,61.75,30.9,-30.85
D,5.93,1.43,-4.5,21.59,0.55,-21.04
H,46.0,25.0,-21.0,12.1,7.95,-4.15
A,16.54,6.4,-10.14,13.96,0.0,-13.96
A,44.06,19.04,-25.02,91.5,34.6,-56.9
H,12.48,32.5,20.03,32.53,7.0,-25.53
H,15.77,5.63,-10.15,6.2,0.0,-6.2
H,91.5,34.6,-56.9,6.2,0.0,-6.2
H,44.06,19.04,-25.02,9.4,2.7,-6.7
D,13.96,0.0,-13.96,18.78,12.15,-6.63
A,5.93,1.43,-4.5,31.8,7.9,-23.9
H,36.51,25.45,-11.06,32.53,7.0,-25.53
H,15.3,9.08,-6.23,46.0,25.0,-21.0
H,15.77,5.63,-10.15,61.75,30.9,-30.85
A,12.1,7.95,-4.15,16.54,6.4,-10.14
H,12.48,32.5,20.03,21.59,0.55,-21.04
D,9.1,5.71,-3.39,6.55,4.63,-1.93
H,46.0,25.0,-21.0,12.48,32.5,20.03
A,16.54,6.4,-10.14,15.77,5.63,-10.15
H,9.4,2.7,-6.7,12.1,7.95,-4.15
H,6.55,4.63,-1.93,44.06,19.04,-25.02
D,31.8,7.9,-23.9,36.51,25.45,-11.06
A,18.78,12.15,-6.63,9.1,5.71,-3.39
H,6.2,0.0,-6.2,15.3,9.08,-6.23
D,32.53,7.0,-25.53,91.5,34.6,-56.9
H,61.75,30.9,-30.85,5.93,1.43,-4.5
H,21.59,0.55,-21.04,13.96,0.0,-13.96
A,12.1,7.95,-4.15,32.53,7.0,-25.53
A,9.1,5.71,-3.39,6.2,0.0,-6.2
H,91.5,34.6,-56.9,9.4,2.7,-6.7
H,44.06,19.04,-25.02,21.59,0.55,-21.04
H,13.96,0.0,-13.96,31.8,7.9,-23.9
A,5.93,1.43,-4.5,18.78,12.15,-6.63
D,36.51,25.45,-11.06,46.0,25.0,-21.0
H,15.77,5.63,-10.15,6.55,4.63,-1.93
A,15.3,9.08,-6.23,61.75,30.9,-30.85
H,12.48,32.5,20.03,16.54,6.4,-10.14
H,46.0,25.0,-21.0,5.93,1.43,-4.5
A,16.54,6.4,-10.14,44.06,19.04,-25.02
H,9.4,2.7,-6.7,9.1,5.71,-3.39
H,6.55,4.63,-1.93,12.48,32.5,20.03
H,61.75,30.9,-30.85,12.1,7.95,-4.15
A,18.78,12.15,-6.63,15.77,5.63,-10.15
H,21.59,0.55,-21.04,15.3,9.08,-6.23
H,32.53,7.0,-25.53,13.96,0.0,-13.96
H,31.8,7.9,-23.9,91.5,34.6,-56.9
H,6.2,0.0,-6.2,36.51,25.45,-11.06
A,9.1,5.71,-3.39,31.8,7.9,-23.9
H,91.5,34.6,-56.9,61.75,30.9,-30.85
H,44.06,19.04,-25.02,18.78,12.15,-6.63
D,12.48,32.5,20.03,9.4,2.7,-6.7
A,5.93,1.43,-4.5,16.54,6.4,-10.14
H,15.3,9.08,-6.23,32.53,7.0,-25.53
A,15.77,5.63,-10.15,46.0,25.0,-21.0
H,13.96,0.0,-13.96,6.55,4.63,-1.93
D,36.51,25.45,-11.06,21.59,0.55,-21.04
H,46.0,25.0,-21.0,9.4,2.7,-6.7
H,16.54,6.4,-10.14,9.1,5.71,-3.39
A,12.48,32.5,20.03,44.06,19.04,-25.02
A,18.78,12.15,-6.63,91.5,34.6,-56.9
A,5.93,1.43,-4.5,12.1,7.95,-4.15
A,15.77,5.63,-10.15,36.51,25.45,-11.06
H,32.53,7.0,-25.53,61.75,30.9,-30.85
H,6.55,4.63,-1.93,6.2,0.0,-6.2
D,13.96,0.0,-13.96,15.3,9.08,-6.23
A,21.59,0.55,-21.04,31.8,7.9,-23.9
A,5.93,1.43,-4.5,44.06,19.04,-25.02
A,9.4,2.7,-6.7,32.53,7.0,-25.53
H,6.2,0.0,-6.2,46.0,25.0,-21.0
H,91.5,34.6,-56.9,13.96,0.0,-13.96
H,44.06,19.04,-25.02,15.77,5.63,-10.15
H,31.8,7.9,-23.9,18.78,12.15,-6.63
D,61.75,30.9,-30.85,16.54,6.4,-10.14
H,36.51,25.45,-11.06,5.93,1.43,-4.5
D,15.3,9.08,-6.23,6.55,4.63,-1.93
A,9.1,5.71,-3.39,12.48,32.5,20.03
A,12.1,7.95,-4.15,21.59,0.55,-21.04
H,12.1,7.95,-4.15,6.55,4.63,-1.93
H,9.4,2.7,-6.7,21.59,0.55,-21.04
D,6.2,0.0,-6.2,16.54,6.4,-10.14
H,9.1,5.71,-3.39,5.93,1.43,-4.5
H,91.5,34.6,-56.9,15.77,5.63,-10.15
H,44.06,19.04,-25.02,13.96,0.0,-13.96
H,61.75,30.9,-30.85,46.0,25.0,-21.0
H,15.3,9.08,-6.23,12.48,32.5,20.03
D,31.8,7.9,-23.9,32.53,7.0,-25.53
H,36.51,25.45,-11.06,18.78,12.15,-6.63
A,32.53,7.0,-25.53,21.59,0.55,-21.04
H,31.8,7.9,-23.9,15.77,5.63,-10.15
A,16.54,6.4,-10.14,31.8,7.9,-23.9
A,32.53,7.0,-25.53,6.2,0.0,-6.2
H,6.55,4.63,-1.93,9.4,2.7,-6.7
H,12.48,32.5,20.03,12.1,7.95,-4.15
H,18.78,12.15,-6.63,15.3,9.08,-6.23
A,21.59,0.55,-21.04,61.75,30.9,-30.85
H,15.77,5.63,-10.15,9.1,5.71,-3.39
A,46.0,25.0,-21.0,91.5,34.6,-56.9
D,13.96,0.0,-13.96,36.51,25.45,-11.06
H,16.54,6.4,-10.14,32.53,7.0,-25.53
A,9.1,5.71,-3.39,46.0,25.0,-21.0
H,91.5,34.6,-56.9,6.55,4.63,-1.93
H,44.06,19.04,-25.02,61.75,30.9,-30.85
H,31.8,7.9,-23.9,15.3,9.08,-6.23
A,13.96,0.0,-13.96,9.4,2.7,-6.7
D,18.78,12.15,-6.63,21.59,0.55,-21.04
D,5.93,1.43,-4.5,6.2,0.0,-6.2
H,36.51,25.45,-11.06,12.1,7.95,-4.15
H,15.77,5.63,-10.15,12.48,32.5,20.03
H,46.0,25.0,-21.0,18.78,12.15,-6.63
D,12.1,7.95,-4.15,31.8,7.9,-23.9
A,32.53,7.0,-25.53,44.06,19.04,-25.02
D,6.55,4.63,-1.93,16.54,6.4,-10.14
A,12.48,32.5,20.03,91.5,34.6,-56.9
H,15.3,9.08,-6.23,36.51,25.45,-11.06
A,21.59,0.55,-21.04,15.77,5.63,-10.15
D,16.54,6.4,-10.14,46.0,25.0,-21.0
H,9.1,5.71,-3.39,21.59,0.55,-21.04
H,91.5,34.6,-56.9,12.1,7.95,-4.15
H,44.06,19.04,-25.02,15.3,9.08,-6.23
H,31.8,7.9,-23.9,6.2,0.0,-6.2
D,13.96,0.0,-13.96,12.48,32.5,20.03
H,18.78,12.15,-6.63,6.55,4.63,-1.93
A,5.93,1.43,-4.5,32.53,7.0,-25.53
H,36.51,25.45,-11.06,61.75,30.9,-30.85
A,15.77,5.63,-10.15,9.4,2.7,-6.7
H,12.1,7.95,-4.15,15.77,5.63,-10.15
H,9.4,2.7,-6.7,18.78,12.15,-6.63
D,6.2,0.0,-6.2,44.06,19.04,-25.02
H,32.53,7.0,-25.53,9.1,5.71,-3.39
H,6.55,4.63,-1.93,5.93,1.43,-4.5
D,61.75,30.9,-30.85,13.96,0.0,-13.96
A,15.3,9.08,-6.23,16.54,6.4,-10.14
A,21.59,0.55,-21.04,91.5,34.6,-56.9
D,46.0,25.0,-21.0,31.8,7.9,-23.9
A,12.48,32.5,20.03,36.51,25.45,-11.06
H,46.0,25.0,-21.0,13.96,0.0,-13.96
A,16.54,6.4,-10.14,21.59,0.55,-21.04
D,9.4,2.7,-6.7,6.2,0.0,-6.2
H,9.1,5.71,-3.39,12.1,7.95,-4.15
H,6.55,4.63,-1.93,61.75,30.9,-30.85
H,44.06,19.04,-25.02,36.51,25.45,-11.06
H,12.48,32.5,20.03,31.8,7.9,-23.9
A,18.78,12.15,-6.63,32.53,7.0,-25.53
A,5.93,1.43,-4.5,91.5,34.6,-56.9
A,15.77,5.63,-10.15,15.3,9.08,-6.23
H,12.1,7.95,-4.15,18.78,12.15,-6.63
H,6.2,0.0,-6.2,12.48,32.5,20.03
H,32.53,7.0,-25.53,46.0,25.0,-21.0
A,13.96,0.0,-13.96,15.77,5.63,-10.15
A,61.75,30.9,-30.85,9.4,2.7,-6.7
D,36.51,25.45,-11.06,16.54,6.4,-10.14
A,15.3,9.08,-6.23,5.93,1.43,-4.5
D,91.5,34.6,-56.9,9.1,5.71,-3.39
H,31.8,7.9,-23.9,44.06,19.04,-25.02
H,21.59,0.55,-21.04,6.55,4.63,-1.93
D,9.1,5.71,-3.39,15.3,9.08,-6.23
H,6.55,4.63,-1.93,36.51,25.45,-11.06
A,5.93,1.43,-4.5,13.96,0.0,-13.96
D,15.77,5.63,-10.15,32.53,7.0,-25.53
A,46.0,25.0,-21.0,21.59,0.55,-21.04
D,16.54,6.4,-10.14,91.5,34.6,-56.9
H,9.4,2.7,-6.7,31.8,7.9,-23.9
D,44.06,19.04,-25.02,12.1,7.95,-4.15
H,12.48,32.5,20.03,61.75,30.9,-30.85
D,18.78,12.15,-6.63,6.2,0.0,-6.2
A,12.1,7.95,-4.15,46.0,25.0,-21.0
D,6.2,0.0,-6.2,15.77,5.63,-10.15
H,32.53,7.0,-25.53,12.48,32.5,20.03
H,31.8,7.9,-23.9,6.55,4.63,-1.93
A,13.96,0.0,-13.96,16.54,6.4,-10.14
H,61.75,30.9,-30.85,18.78,12.15,-6.63
H,15.3,9.08,-6.23,9.4,2.7,-6.7
H,21.59,0.55,-21.04,5.93,1.43,-4.5
H,91.5,34.6,-56.9,44.06,19.04,-25.02
H,36.51,25.45,-11.06,9.1,5.71,-3.39
H,9.1,5.71,-3.39,44.06,19.04,-25.02
D,46.0,25.0,-21.0,6.2,0.0,-6.2
A,16.54,6.4,-10.14,61.75,30.9,-30.85
H,32.53,7.0,-25.53,9.4,2.7,-6.7
H,6.55,4.63,-1.93,15.3,9.08,-6.23
H,13.96,0.0,-13.96,91.5,34.6,-56.9
A,18.78,12.15,-6.63,31.8,7.9,-23.9
A,15.77,5.63,-10.15,44.06,19.04,-25.02
H,12.48,32.5,20.03,9.1,5.71,-3.39
D,5.93,1.43,-4.5,36.51,25.45,-11.06
H,21.59,0.55,-21.04,12.1,7.95,-4.15
H,44.06,19.04,-25.02,46.0,25.0,-21.0
H,9.4,2.7,-6.7,5.93,1.43,-4.5
D,36.51,25.45,-11.06,15.77,5.63,-10.15
D,61.75,30.9,-30.85,9.1,5.71,-3.39
H,12.1,7.95,-4.15,5.93,1.43,-4.5
H,9.4,2.7,-6.7,46.0,25.0,-21.0
D,9.1,5.71,-3.39,16.54,6.4,-10.14
H,91.5,34.6,-56.9,18.78,12.15,-6.63
H,61.75,30.9,-30.85,32.53,7.0,-25.53
H,6.2,0.0,-6.2,6.55,4.63,-1.93
H,44.06,19.04,-25.02,12.48,32.5,20.03
A,15.3,9.08,-6.23,13.96,0.0,-13.96
H,16.54,6.4,-10.14,18.78,12.15,-6.63
A,6.55,4.63,-1.93,46.0,25.0,-21.0
D,44.06,19.04,-25.02,9.1,5.71,-3.39
H,13.96,0.0,-13.96,12.1,7.95,-4.15
H,61.75,30.9,-30.85,6.2,0.0,-6.2
A,15.3,9.08,-6.23,91.5,34.6,-56.9
D,21.59,0.55,-21.04,32.53,7.0,-25.53
H,12.48,32.5,20.03,5.93,1.43,-4.5
H,36.51,25.45,-11.06,9.4,2.7,-6.7
A,15.77,5.63,-10.15,31.8,7.9,-23.9
D,12.1,7.95,-4.15,15.3,9.08,-6.23
H,9.4,2.7,-6.7,16.54,6.4,-10.14
H,6.2,0.0,-6.2,21.59,0.55,-21.04
H,91.5,34.6,-56.9,36.51,25.45,-11.06
H,32.53,7.0,-25.53,6.55,4.63,-1.93
H,18.78,12.15,-6.63,12.48,32.5,20.03
A,5.93,1.43,-4.5,15.77,5.63,-10.15
H,46.0,25.0,-21.0,44.06,19.04,-25.02
H,9.1,5.71,-3.39,13.96,0.0,-13.96
H,31.8,7.9,-23.9,61.75,30.9,-30.85
H,44.06,19.04,-25.02,6.55,4.63,-1.93
H,46.0,25.0,-21.0,9.1,5.71,-3.39
A,12.1,7.95,-4.15,36.51,25.45,-11.06
H,9.4,2.7,-6.7,13.96,0.0,-13.96
H,6.2,0.0,-6.2,5.93,1.43,-4.5
H,32.53,7.0,-25.53,16.54,6.4,-10.14
A,12.48,32.5,20.03,15.77,5.63,-10.15
A,15.3,9.08,-6.23,31.8,7.9,-23.9
A,21.59,0.55,-21.04,18.78,12.15,-6.63
H,6.55,4.63,-1.93,91.5,34.6,-56.9
A,61.75,30.9,-30.85,44.06,19.04,-25.02
D,16.54,6.4,-10.14,6.55,4.63,-1.93
H,91.5,34.6,-56.9,12.48,32.5,20.03
H,44.06,19.04,-25.02,32.53,7.0,-25.53
A,5.93,1.43,-4.5,9.4,2.7,-6.7
A,15.77,5.63,-10.15,21.59,0.55,-21.04
H,9.1,5.71,-3.39,61.75,30.9,-30.85
H,31.8,7.9,-23.9,12.1,7.95,-4.15
H,13.96,0.0,-13.96,6.2,0.0,-6.2
H,36.51,25.45,-11.06,15.3,9.08,-6.23
H,31.8,7.9,-23.9,21.59,0.55,-21.04
H,46.0,25.0,-21.0,16.54,6.4,-10.14
D,12.1,7.95,-4.15,91.5,34.6,-56.9
A,6.2,0.0,-6.2,31.8,7.9,-23.9
D,32.53,7.0,-25.53,5.93,1.43,-4.5
A,6.55,4.63,-1.93,18.78,12.15,-6.63
H,61.75,30.9,-30.85,36.51,25.45,-11.06
A,15.3,9.08,-6.23,44.06,19.04,-25.02
A,12.48,32.5,20.03,13.96,0.0,-13.96
D,21.59,0.55,-21.04,9.1,5.71,-3.39
D,9.4,2.7,-6.7,15.77,5.63,-10.15
H,12.1,7.95,-4.15,6.2,0.0,-6.2
D,9.1,5.71,-3.39,32.53,7.0,-25.53
D,18.78,12.15,-6.63,9.4,2.7,-6.7
H,36.51,25.45,-11.06,12.48,32.5,20.03
D,15.77,5.63,-10.15,12.1,7.95,-4.15
D,16.54,6.4,-10.14,15.3,9.08,-6.23
H,91.5,34.6,-56.9,21.59,0.55,-21.04
H,44.06,19.04,-25.02,6.2,0.0,-6.2
H,31.8,7.9,-23.9,46.0,25.0,-21.0
A,13.96,0.0,-13.96,61.75,30.9,-30.85
D,18.78,12.15,-6.63,46.0,25.0,-21.0
D,31.8,7.9,-23.9,5.93,1.43,-4.5
H,46.0,25.0,-21.0,15.3,9.08,-6.23
A,6.2,0.0,-6.2,91.5,34.6,-56.9
A,32.53,7.0,-25.53,36.51,25.45,-11.06
H,6.55,4.63,-1.93,9.1,5.71,-3.39
H,61.75,30.9,-30.85,15.77,5.63,-10.15
H,18.78,12.15,-6.63,13.96,0.0,-13.96
H,21.59,0.55,-21.04,12.48,32.5,20.03
H,16.54,6.4,-10.14,12.1,7.95,-4.15
A,9.4,2.7,-6.7,44.06,19.04,-25.02
H,9.1,5.71,-3.39,18.78,12.15,-6.63
H,91.5,34.6,-56.9,32.53,7.0,-25.53
H,13.96,0.0,-13.96,21.59,0.55,-21.04
A,5.93,1.43,-4.5,61.75,30.9,-30.85
A,36.51,25.45,-11.06,31.8,7.9,-23.9
D,15.3,9.08,-6.23,6.2,0.0,-6.2
H,15.77,5.63,-10.15,16.54,6.4,-10.14
H,12.1,7.95,-4.15,9.4,2.7,-6.7
D,46.0,25.0,-21.0,36.51,25.45,-11.06
H,6.2,0.0,-6.2,9.1,5.71,-3.39
D,32.53,7.0,-25.53,12.1,7.95,-4.15
H,61.75,30.9,-30.85,15.3,9.08,-6.23
H,18.78,12.15,-6.63,5.93,1.43,-4.5
H,6.55,4.63,-1.93,15.77,5.63,-10.15
A,16.54,6.4,-10.14,12.48,32.5,20.03
A,21.59,0.55,-21.04,44.06,19.04,-25.02
D,12.1,7.95,-4.15,61.75,30.9,-30.85
A,9.1,5.71,-3.39,9.4,2.7,-6.7
H,91.5,34.6,-56.9,31.8,7.9,-23.9
H,44.06,19.04,-25.02,16.54,6.4,-10.14
A,12.48,32.5,20.03,6.55,4.63,-1.93
A,13.96,0.0,-13.96,32.53,7.0,-25.53
A,15.77,5.63,-10.15,18.78,12.15,-6.63
H,36.51,25.45,-11.06,6.2,0.0,-6.2
D,31.8,7.9,-23.9,13.96,0.0,-13.96
A,5.93,1.43,-4.5,46.0,25.0,-21.0
A,15.3,9.08,-6.23,21.59,0.55,-21.04
H,9.4,2.7,-6.7,91.5,34.6,-56.9
D,6.2,0.0,-6.2,13.96,0.0,-13.96
A,12.48,32.5,20.03,46.0,25.0,-21.0
H,5.93,1.43,-4.5,6.55,4.63,-1.93
H,46.0,25.0,-21.0,15.77,5.63,-10.15
H,16.54,6.4,-10.14,5.93,1.43,-4.5
H,9.4,2.7,-6.7,12.48,32.5,20.03
H,6.2,0.0,-6.2,12.1,7.95,-4.15
D,32.53,7.0,-25.53,15.3,9.08,-6.23
H,6.55,4.63,-1.93,13.96,0.0,-13.96
H,31.8,7.9,-23.9,9.1,5.71,-3.39
H,61.75,30.9,-30.85,91.5,34.6,-56.9
A,18.78,12.15,-6.63,44.06,19.04,-25.02
H,21.59,0.55,-21.04,36.51,25.45,-11.06
D,15.0,12.93,-2.08,24.7,1.83,-22.88
H,17.0,3.85,-13.15,61.0,38.65,-22.35
H,17.9,2.5,-15.4,10.48,13.5,3.03
H,31.88,11.18,-20.7,29.38,24.33,-5.05
H,9.1,1.25,-7.85,17.98,16.91,-1.07
H,9.23,0.0,-9.23,11.3,4.68,-6.63
D,18.03,3.33,-14.7,46.0,24.73,-21.28
H,69.85,6.75,-63.1,21.65,2.28,-19.38
H,88.98,52.6,-36.38,,,
H,27.2,18.0,-9.2,13.8,10.52,-3.29
H,61.0,38.65,-22.35,18.03,3.33,-14.7
D,10.48,13.5,3.03,69.85,6.75,-63.1
H,24.7,1.83,-22.88,9.23,0.0,-9.23
D,17.98,16.91,-1.07,17.9,2.5,-15.4
A,21.65,2.28,-19.38,27.2,18.0,-9.2
D,13.8,10.52,-3.29,17.0,3.85,-13.15
D,,,,9.1,1.25,-7.85
H,11.3,4.68,-6.63,88.98,52.6,-36.38
H,21.65,2.28,-19.38,17.0,3.85,-13.15
H,13.8,10.52,-3.29,18.03,3.33,-14.7
H,46.0,24.73,-21.28,69.85,6.75,-63.1
H,,,,15.0,12.93,-2.08
A,61.0,38.65,-22.35,17.9,2.5,-15.4
A,10.48,13.5,3.03,27.2,18.0,-9.2
H,29.38,24.33,-5.05,9.23,0.0,-9.23
H,24.7,1.83,-22.88,31.88,11.18,-20.7
A,17.98,16.91,-1.07,88.98,52.6,-36.38
A,11.3,4.68,-6.63,9.1,1.25,-7.85
D,15.0,12.93,-2.08,11.3,4.68,-6.63
H,17.0,3.85,-13.15,10.48,13.5,3.03
H,88.98,52.6,-36.38,21.65,2.28,-19.38
H,17.9,2.5,-15.4,46.0,24.73,-21.28
H,27.2,18.0,-9.2,61.0,38.65,-22.35
A,31.88,11.18,-20.7,13.8,10.52,-3.29
H,9.1,1.25,-7.85,29.38,24.33,-5.05
D,18.03,3.33,-14.7,17.98,16.91,-1.07
D,69.85,6.75,-63.1,24.7,1.83,-22.88
H,9.23,0.0,-9.23,,,
D,17.0,3.85,-13.15,11.3,4.68,-6.63
A,21.65,2.28,-19.38,9.1,1.25,-7.85
D,17.9,2.5,-15.4,29.38,24.33,-5.05
A,18.03,3.33,-14.7,9.23,0.0,-9.23
D,10.48,13.5,3.03,24.7,1.83,-22.88
H,17.98,16.91,-1.07,,,
H,88.98,52.6,-36.38,46.0,24.73,-21.28
A,27.2,18.0,-9.2,15.0,12.93,-2.08
D,61.0,38.65,-22.35,13.8,10.52,-3.29
A,69.85,6.75,-63.1,31.88,11.18,-20.7
H,46.0,24.73,-21.28,31.88,11.18,-20.7
H,15.0,12.93,-2.08,18.03,3.33,-14.7
H,24.7,1.83,-22.88,21.65,2.28,-19.38
A,13.8,10.52,-3.29,88.98,52.6,-36.38
H,46.0,24.73,-21.28,61.0,38.65,-22.35
H,,,,69.85,6.75,-63.1
A,11.3,4.68,-6.63,17.98,16.91,-1.07
D,9.23,0.0,-9.23,27.2,18.0,-9.2
D,29.38,24.33,-5.05,10.48,13.5,3.03
D,31.88,11.18,-20.7,17.9,2.5,-15.4
A,9.1,1.25,-7.85,17.0,3.85,-13.15
H,17.0,3.85,-13.15,46.0,24.73,-21.28
A,21.65,2.28,-19.38,15.0,12.93,-2.08
D,88.98,52.6,-36.38,24.7,1.83,-22.88
D,17.9,2.5,-15.4,,,
H,18.03,3.33,-14.7,11.3,4.68,-6.63
H,17.98,16.91,-1.07,29.38,24.33,-5.05
H,27.2,18.0,-9.2,31.88,11.18,-20.7
H,61.0,38.65,-22.35,9.1,1.25,-7.85
A,69.85,6.75,-63.1,9.23,0.0,-9.23
D,10.48,13.5,3.03,13.8,10.52,-3.29
H,15.0,12.93,-2.08,10.48,13.5,3.03
D,24.7,1.83,-22.88,61.0,38.65,-22.35
D,46.0,24.73,-21.28,17.98,16.91,-1.07
D,,,,18.03,3.33,-14.7
H,11.3,4.68,-6.63,17.9,2.5,-15.4
H,9.1,1.25,-7.85,69.85,6.75,-63.1
A,9.23,0.0,-9.23,88.98,52.6,-36.38
A,29.38,24.33,-5.05,27.2,18.0,-9.2
A,31.88,11.18,-20.7,17.0,3.85,-13.15
H,13.8,10.52,-3.29,21.65,2.28,-19.38
D,24.7,1.83,-22.88,13.8,10.52,-3.29
D,21.65,2.28,-19.38,10.48,13.5,3.03
H,88.98,52.6,-36.38,9.1,1.25,-7.85
H,17.9,2.5,-15.4,18.03,3.33,-14.7
H,29.38,24.33,-5.05,,,
A,17.98,16.91,-1.07,17.0,3.85,-13.15
H,27.2,18.0,-9.2,46.0,24.73,-21.28
H,11.3,4.68,-6.63,31.88,11.18,-20.7
A,9.23,0.0,-9.23,15.0,12.93,-2.08
H,61.0,38.65,-22.35,69.85,6.75,-63.1
D,15.0,12.93,-2.08,17.9,2.5,-15.4
A,17.0,3.85,-13.15,27.2,18.0,-9.2
A,13.8,10.52,-3.29,29.38,24.33,-5.05
H,46.0,24.73,-21.28,24.7,1.83,-22.88
D,31.88,11.18,-20.7,21.65,2.28,-19.38
H,9.1,1.25,-7.85,9.23,0.0,-9.23
A,18.03,3.33,-14.7,88.98,52.6,-36.38
D,10.48,13.5,3.03,61.0,38.65,-22.35
H,69.85,6.75,-63.1,17.98,16.91,-1.07
H,,,,11.3,4.68,-6.63
A,17.0,3.85,-13.15,29.38,24.33,-5.05
H,21.65,2.28,-19.38,,,
H,13.8,10.52,-3.29,17.9,2.5,-15.4
H,46.0,24.73,-21.28,9.23,0.0,-9.23
H,27.2,18.0,-9.2,9.1,1.25,-7.85
A,31.88,11.18,-20.7,18.03,3.33,-14.7
H,10.48,13.5,3.03,11.3,4.68,-6.63
H,24.7,1.83,-22.88,17.98,16.91,-1.07
H,61.0,38.65,-22.35,88.98,52.6,-36.38
H,69.85,6.75,-63.1,15.0,12.93,-2.08
A,17.98,16.91,-1.07,27.2,18.0,-9.2
H,88.98,52.6,-36.38,10.48,13.5,3.03
A,17.9,2.5,-15.4,24.7,1.83,-22.88
D,,,,31.88,11.18,-20.7
H,11.3,4.68,-6.63,69.85,6.75,-63.1
D,9.1,1.25,-7.85,13.8,10.52,-3.29
D,18.03,3.33,-14.7,17.0,3.85,-13.15
H,29.38,24.33,-5.05,21.65,2.28,-19.38
H,15.0,12.93,-2.08,46.0,24.73,-21.28
H,9.23,0.0,-9.23,61.0,38.65,-22.35
D,15.0,12.93,-2.08,31.88,11.18,-20.7
H,88.98,52.6,-36.38,69.85,6.75,-63.1
H,17.9,2.5,-15.4,17.0,3.85,-13.15
H,,,,13.8,10.52,-3.29
D,11.3,4.68,-6.63,46.0,24.73,-21.28
H,9.1,1.25,-7.85,10.48,13.5,3.03
H,9.23,0.0,-9.23,21.65,2.28,-19.38
A,18.03,3.33,-14.7,27.2,18.0,-9.2
D,17.98,16.91,-1.07,61.0,38.65,-22.35
D,29.38,24.33,-5.05,24.7,1.83,-22.88
D,24.7,1.83,-22.88,11.3,4.68,-6.63
H,17.0,3.85,-13.15,15.0,12.93,-2.08
D,21.65,2.28,-19.38,17.9,2.5,-15.4
A,13.8,10.52,-3.29,9.23,0.0,-9.23
H,46.0,24.73,-21.28,,,
H,69.85,6.75,-63.1,18.03,3.33,-14.7
D,27.2,18.0,-9.2,88.98,52.6,-36.38
H,31.88,11.18,-20.7,9.1,1.25,-7.85
H,61.0,38.65,-22.35,29.38,24.33,-5.05
A,10.48,13.5,3.03,18.03,3.33,-14.7
A,24.7,1.83,-22.88,,,
A,17.0,3.85,-13.15,88.98,52.6,-36.38
H,13.8,10.52,-3.29,15.0,12.93,-2.08
D,46.0,24.73,-21.28,9.1,1.25,-7.85
H,27.2,18.0,-9.2,17.9,2.5,-15.4
H,15.0,12.93,-2.08,61.0,38.65,-22.35
H,17.98,16.91,-1.07,13.8,10.52,-3.29
A,11.3,4.68,-6.63,27.2,18.0,-9.2
D,9.1,1.25,-7.85,24.7,1.83,-22.88
H,9.23,0.0,-9.23,17.0,3.85,-13.15
H,18.03,3.33,-14.7,21.65,2.28,-19.38
A,29.38,24.33,-5.05,46.0,24.73,-21.28
H,17.9,2.5,-15.4,69.85,6.75,-63.1
D,,,,10.48,13.5,3.03
H,21.65,2.28,-19.38,17.98,16.91,-1.07
H,61.0,38.65,-22.35,11.3,4.68,-6.63
H,31.88,11.18,-20.7,9.23,0.0,-9.23
A,69.85,6.75,-63.1,29.38,24.33,-5.05
A,17.98,16.91,-1.07,31.88,11.18,-20.7
H,17.0,3.85,-13.15,69.85,6.75,-63.1
H,46.0,24.73,-21.28,13.8,10.52,-3.29
H,27.2,18.0,-9.2,,,
D,11.3,4.68,-6.63,29.38,24.33,-5.05
H,9.1,1.25,-7.85,17.9,2.5,-15.4
H,61.0,38.65,-22.35,21.65,2.28,-19.38
D,10.48,13.5,3.03,9.23,0.0,-9.23
D,88.98,52.6,-36.38,15.0,12.93,-2.08
D,18.03,3.33,-14.7,24.7,1.83,-22.88
H,88.98,52.6,-36.38,31.88,11.18,-20.7
A,29.38,24.33,-5.05,15.0,12.93,-2.08
D,15.0,12.93,-2.08,9.1,1.25,-7.85
A,24.7,1.83,-22.88,17.0,3.85,-13.15
A,21.65,2.28,-19.38,46.0,24.73,-21.28
