Date,HomeTeam,AwayTeam,FTR,HTR,Referee,HomeTeamExpenditure,HomeTeamIncome,HomeTeamBalance,AwayTeamExpenditure,AwayTeamIncome,AwayTeamBalance
2000-09-17,Chelsea,Leicester,A,A,Graham Barber,52.39,37.72,-14.67,11.7,9.7,-2.0
2000-09-17,Man City,Middlesbrough,D,D,Steve Lodge,20.28,1.46,-18.81,33.47,10.0,-23.47
2000-09-17,West Ham,Liverpool,D,A,David Ellaray,18.65,42.4,23.75,34.0,19.61,-14.4
2000-09-23,Bradford,Southampton,A,A,Steve Dunn,6.61,8.94,2.34,0.0,0.145,0.145
2000-09-23,Coventry,West Ham,A,A,Neale Barry,19.0,26.28,7.28,18.65,42.4,23.75
2000-09-23,Derby,Leeds,D,A,Barry Knight,13.33,6.88,-6.45,53.15,12.33,-40.82
2000-09-23,Ipswich,Arsenal,D,D,Paul Durkin,9.6,4.5,-5.1,56.3,49.53,-6.78
2000-09-23,Liverpool,Sunderland,D,D,Mike Riley,34.0,19.61,-14.4,16.87,5.53,-11.34
2000-09-23,Man United,Chelsea,D,H,Peter Jones,11.7,9.88,-1.83,52.39,37.72,-14.67
2000-09-23,Middlesbrough,Aston Villa,D,D,Mark Halsey,33.47,10.0,-23.47,21.12,20.82,-0.305
2000-09-23,Newcastle,Charlton,A,A,Andy D'Urso,25.91,26.39,0.475,20.8,0.532,-20.27
2000-09-23,Tottenham,Man City,D,D,Steve Bennett,25.74,2.46,-23.29,20.28,1.46,-18.81
2000-09-24,Leicester,Everton,D,H,Alan Wiley,11.7,9.7,-2.0,34.48,35.55,1.07
2000-09-30,Aston Villa,Derby,H,H,David Ellaray,21.12,20.82,-0.305,13.33,6.88,-6.45
2000-09-30,Charlton,Coventry,D,A,Rob Styles,20.8,0.532,-20.27,19.0,26.28,7.28
2000-09-30,Everton,Ipswich,A,A,Jeff Winter,34.48,35.55,1.07,9.6,4.5,-5.1
2000-09-30,Leeds,Tottenham,H,A,Neale Barry,53.15,12.33,-40.82,25.74,2.46,-23.29
2000-09-30,Man City,Newcastle,A,D,Paul Taylor,20.28,1.46,-18.81,25.91,26.39,0.475
2000-09-30,Southampton,Middlesbrough,A,A,Graham Poll,0.0,0.145,0.145,33.47,10.0,-23.47
2000-09-30,West Ham,Bradford,D,H,Mike Dean,18.65,42.4,23.75,6.61,8.94,2.34
2000-10-01,Arsenal,Man United,H,H,Graham Barber,56.3,49.53,-6.78,11.7,9.88,-1.83
2000-10-01,Chelsea,Liverpool,H,H,Dermot Gallagher,52.39,37.72,-14.67,34.0,19.61,-14.4
2000-10-01,Sunderland,Leicester,D,D,Steve Lodge,16.87,5.53,-11.34,11.7,9.7,-2.0
2000-10-14,Arsenal,Aston Villa,H,D,Rob Harris,56.3,49.53,-6.78,21.12,20.82,-0.305
2000-10-14,Coventry,Tottenham,H,H,Peter Jones,19.0,26.28,7.28,25.74,2.46,-23.29
2000-10-14,Everton,Southampton,D,D,David Ellaray,34.48,35.55,1.07,0.0,0.145,0.145
2000-10-14,Ipswich,West Ham,D,H,Neale Barry,9.6,4.5,-5.1,18.65,42.4,23.75
2000-10-14,Leeds,Charlton,H,H,Mike Dean,53.15,12.33,-40.82,20.8,0.532,-20.27
2000-10-14,Leicester,Man United,A,A,Paul Durkin,11.7,9.7,-2.0,11.7,9.88,-1.83
2000-10-14,Man City,Bradford,H,H,Barry Knight,20.28,1.46,-18.81,6.61,8.94,2.34
2000-10-14,Sunderland,Chelsea,H,D,Jeff Winter,16.87,5.53,-11.34,52.39,37.72,-14.67
2000-10-15,Derby,Liverpool,A,A,Steve Bennett,13.33,6.88,-6.45,34.0,19.61,-14.4
2000-10-16,Middlesbrough,Newcastle,A,A,Steve Dunn,33.47,10.0,-23.47,25.91,26.39,0.475
2000-10-21,Bradford,Ipswich,A,A,Paul Taylor,6.61,8.94,2.34,9.6,4.5,-5.1
2000-10-21,Charlton,Middlesbrough,H,D,Mike Riley,20.8,0.532,-20.27,33.47,10.0,-23.47
2000-10-21,Chelsea,Coventry,H,H,Steve Lodge,52.39,37.72,-14.67,19.0,26.28,7.28
2000-10-21,Liverpool,Leicester,H,D,Andy D'Urso,34.0,19.61,-14.4,11.7,9.7,-2.0
2000-10-21,Man United,Leeds,H,H,Jeff Winter,11.7,9.88,-1.83,53.15,12.33,-40.82
2000-10-21,Newcastle,Everton,A,D,Mark Halsey,25.91,26.39,0.475,34.48,35.55,1.07
2000-10-21,Tottenham,Derby,H,H,Mike Dean,25.74,2.46,-23.29,13.33,6.88,-6.45
2000-10-21,West Ham,Arsenal,A,A,Dermot Gallagher,18.65,42.4,23.75,56.3,49.53,-6.78
2000-10-22,Aston Villa,Sunderland,D,D,Rob Styles,21.12,20.82,-0.305,16.87,5.53,-11.34
2000-10-23,Southampton,Man City,A,A,Alan Wiley,0.0,0.145,0.145,20.28,1.46,-18.81
2000-10-28,Arsenal,Man City,H,H,Rob Styles,56.3,49.53,-6.78,20.28,1.46,-18.81
2000-10-28,Aston Villa,Charlton,H,H,Dermot Gallagher,21.12,20.82,-0.305,20.8,0.532,-20.27
2000-10-28,Chelsea,Tottenham,H,H,Steve Dunn,52.39,37.72,-14.67,25.74,2.46,-23.29
2000-10-28,Ipswich,Middlesbrough,H,H,Neale Barry,9.6,4.5,-5.1,33.47,10.0,-23.47
2000-10-28,Leicester,Derby,H,D,Graham Poll,11.7,9.7,-2.0,13.33,6.88,-6.45
2000-10-28,Man United,Southampton,H,H,Andy D'Urso,11.7,9.88,-1.83,0.0,0.145,0.145
2000-10-28,Sunderland,Coventry,H,D,Alan Wiley,16.87,5.53,-11.34,19.0,26.28,7.28
2000-10-28,West Ham,Newcastle,H,D,Mike Riley,18.65,42.4,23.75,25.91,26.39,0.475
2000-10-29,Bradford,Leeds,D,H,Steve Lodge,6.61,8.94,2.34,53.15,12.33,-40.82
2000-10-29,Liverpool,Everton,H,D,Paul Durkin,34.0,19.61,-14.4,34.48,35.55,1.07
2000-11-04,Charlton,Bradford,H,H,Neale Barry,20.8,0.532,-20.27,6.61,8.94,2.34
2000-11-04,Coventry,Man United,A,A,Graham Poll,19.0,26.28,7.28,11.7,9.88,-1.83
2000-11-04,Leeds,Liverpool,H,A,David Ellaray,53.15,12.33,-40.82,34.0,19.61,-14.4
2000-11-04,Man City,Leicester,A,D,Mark Halsey,20.28,1.46,-18.81,11.7,9.7,-2.0
2000-11-04,Middlesbrough,Arsenal,A,A,Andy D'Urso,33.47,10.0,-23.47,56.3,49.53,-6.78
2000-11-04,Newcastle,Ipswich,H,D,Alan Wiley,25.91,26.39,0.475,9.6,4.5,-5.1
2000-11-04,Southampton,Chelsea,H,H,Jeff Winter,0.0,0.145,0.145,52.39,37.72,-14.67
