Date,HomeTeam,AwayTeam,FTR,HTR,Referee,HomeTeamExpenditure,HomeTeamIncome,HomeTeamBalance,AwayTeamExpenditure,AwayTeamIncome,AwayTeamBalance
2002-11-30,Birmingham,Tottenham,D,D,E Wolstenholme,15.68,1.15,-14.53,10.5,1.35,-9.15
2002-11-30,Blackburn,Fulham,H,H,P Dowd,7.25,1.8,-5.45,3.0,0.83,-2.18
2002-11-30,Chelsea,Sunderland,H,D,S Bennett,0.0,2.1,2.1,29.68,0.0,-29.68
2002-11-30,Man City,Bolton,H,H,J Winter,44.45,0.75,-43.7,0.0,5.29,5.29
2002-11-30,West Brom,Middlesbrough,H,D,P Durkin,16.95,0.0,-16.95,34.08,0.0,-34.08
2002-12-01,Leeds,Charlton,A,H,A D'Urso,4.5,80.12,75.62,6.75,2.65,-4.1
2002-12-01,Liverpool,Man United,A,D,A Wiley,31.5,11.8,-19.7,48.53,3.5,-45.03
2002-12-01,Newcastle,Everton,H,A,M Halsey,34.55,0.23,-34.33,13.88,0.38,-13.5
2002-12-02,West Ham,Southampton,A,D,M Riley,0.4,0.08,-0.33,12.0,0.0,-12.0
2002-12-07,Aston Villa,Newcastle,A,D,S Bennett,9.08,6.9,-2.18,34.55,0.23,-34.33
2002-12-07,Bolton,Blackburn,D,H,N Barry,0.0,5.29,5.29,7.25,1.8,-5.45
2002-12-07,Charlton,Liverpool,H,H,M Riley,6.75,2.65,-4.1,31.5,11.8,-19.7
2002-12-07,Everton,Chelsea,A,A,E Wolstenholme,13.88,0.38,-13.5,0.0,2.1,2.1
2002-12-07,Fulham,Leeds,H,H,P Durkin,3.0,0.83,-2.18,4.5,80.12,75.62
2002-12-07,Man United,Arsenal,H,H,D Gallagher,48.53,3.5,-45.03,12.83,8.22,-4.61
2002-12-07,Middlesbrough,West Ham,D,D,G Poll,34.08,0.0,-34.08,0.4,0.08,-0.33
2002-12-07,Southampton,Birmingham,H,D,J Winter,12.0,0.0,-12.0,15.68,1.15,-14.53
2002-12-08,Tottenham,West Brom,H,H,A Wiley,10.5,1.35,-9.15,16.95,0.0,-16.95
2002-12-09,Sunderland,Man City,A,A,S Dunn,29.68,0.0,-29.68,44.45,0.75,-43.7
2002-12-14,Aston Villa,West Brom,H,D,M Dean,9.08,6.9,-2.18,16.95,0.0,-16.95
2002-12-14,Charlton,Man City,D,D,D Pugh,6.75,2.65,-4.1,44.45,0.75,-43.7
2002-12-14,Everton,Blackburn,H,H,G Barber,13.88,0.38,-13.5,7.25,1.8,-5.45
2002-12-14,Man United,West Ham,H,H,R Styles,48.53,3.5,-45.03,0.4,0.08,-0.33
2002-12-14,Middlesbrough,Chelsea,D,D,M Messias,34.08,0.0,-34.08,0.0,2.1,2.1
2002-12-14,Southampton,Newcastle,D,D,P Dowd,12.0,0.0,-12.0,34.55,0.23,-34.33
2002-12-15,Fulham,Birmingham,A,A,A D'Urso,3.0,0.83,-2.18,15.68,1.15,-14.53
2002-12-15,Sunderland,Liverpool,H,H,M Halsey,29.68,0.0,-29.68,31.5,11.8,-19.7
2002-12-15,Tottenham,Arsenal,D,D,N Barry,10.5,1.35,-9.15,12.83,8.22,-4.61
2002-12-16,Bolton,Leeds,A,A,G Poll,0.0,5.29,5.29,4.5,80.12,75.62
2002-12-21,Arsenal,Middlesbrough,H,H,S Dunn,12.83,8.22,-4.61,34.08,0.0,-34.08
2002-12-21,Birmingham,Charlton,D,A,R Styles,15.68,1.15,-14.53,6.75,2.65,-4.1
2002-12-21,Chelsea,Aston Villa,H,H,M Riley,0.0,2.1,2.1,9.08,6.9,-2.18
2002-12-21,Leeds,Southampton,D,D,C Foy,4.5,80.12,75.62,12.0,0.0,-12.0
2002-12-21,Newcastle,Fulham,H,H,A Wiley,34.55,0.23,-34.33,3.0,0.83,-2.18
2002-12-21,West Brom,Sunderland,D,H,C Wilkes,16.95,0.0,-16.95,29.68,0.0,-29.68
2002-12-21,West Ham,Bolton,D,H,S Bennett,0.4,0.08,-0.33,0.0,5.29,5.29
2002-12-22,Blackburn,Man United,H,H,D Elleray,7.25,1.8,-5.45,48.53,3.5,-45.03
2002-12-22,Liverpool,Everton,D,D,G Poll,31.5,11.8,-19.7,13.88,0.38,-13.5
2002-12-23,Man City,Tottenham,A,D,J Winter,44.45,0.75,-43.7,10.5,1.35,-9.15
2002-12-26,Birmingham,Everton,D,D,D Elleray,15.68,1.15,-14.53,13.88,0.38,-13.5
2002-12-26,Bolton,Newcastle,H,H,U Rennie,0.0,5.29,5.29,34.55,0.23,-34.33
2002-12-26,Chelsea,Southampton,D,D,P Durkin,0.0,2.1,2.1,12.0,0.0,-12.0
2002-12-26,Liverpool,Blackburn,D,H,N Barry,31.5,11.8,-19.7,7.25,1.8,-5.45
2002-12-26,Man City,Aston Villa,H,D,M Halsey,44.45,0.75,-43.7,9.08,6.9,-2.18
2002-12-26,Middlesbrough,Man United,H,H,G Barber,34.08,0.0,-34.08,48.53,3.5,-45.03
2002-12-26,Sunderland,Leeds,A,H,M Dean,29.68,0.0,-29.68,4.5,80.12,75.62
2002-12-26,Tottenham,Charlton,D,A,A D'Urso,10.5,1.35,-9.15,6.75,2.65,-4.1
2002-12-26,West Brom,Arsenal,A,H,G Poll,16.95,0.0,-16.95,12.83,8.22,-4.61
2002-12-26,West Ham,Fulham,D,D,D Gallagher,0.4,0.08,-0.33,3.0,0.83,-2.18
2002-12-28,Aston Villa,Middlesbrough,H,H,R Styles,9.08,6.9,-2.18,34.08,0.0,-34.08
2002-12-28,Blackburn,West Ham,D,D,A Wiley,7.25,1.8,-5.45,0.4,0.08,-0.33
2002-12-28,Charlton,West Brom,H,H,S Dunn,6.75,2.65,-4.1,16.95,0.0,-16.95
2002-12-28,Everton,Bolton,D,D,D Gallagher,13.88,0.38,-13.5,0.0,5.29,5.29
2002-12-28,Fulham,Man City,A,D,P Durkin,3.0,0.83,-2.18,44.45,0.75,-43.7
2002-12-28,Leeds,Chelsea,H,H,G Barber,4.5,80.12,75.62,0.0,2.1,2.1
2002-12-28,Man United,Birmingham,H,H,M Dean,48.53,3.5,-45.03,15.68,1.15,-14.53
2002-12-28,Southampton,Sunderland,H,D,M Riley,12.0,0.0,-12.0,29.68,0.0,-29.68
2002-12-29,Arsenal,Liverpool,D,D,J Winter,12.83,8.22,-4.61,31.5,11.8,-19.7
2002-12-29,Newcastle,Tottenham,H,H,S Bennett,34.55,0.23,-34.33,10.5,1.35,-9.15
2003-01-01,Arsenal,Chelsea,H,H,U Rennie,12.83,8.22,-4.61,0.0,2.1,2.1
2003-01-01,Aston Villa,Bolton,H,H,M Messias,9.08,6.9,-2.18,0.0,5.29,5.29
2003-01-01,Blackburn,Middlesbrough,H,D,D Pugh,7.25,1.8,-5.45,34.08,0.0,-34.08
2003-01-01,Everton,Man City,D,D,A D'Urso,13.88,0.38,-13.5,44.45,0.75,-43.7
2003-01-01,Leeds,Birmingham,H,H,P Dowd,4.5,80.12,75.62,15.68,1.15,-14.53
2003-01-01,Man United,Sunderland,H,A,G Poll,48.53,3.5,-45.03,29.68,0.0,-29.68
2003-01-01,Newcastle,Liverpool,H,H,D Gallagher,34.55,0.23,-34.33,31.5,11.8,-19.7
2003-01-01,Southampton,Tottenham,H,D,M Halsey,12.0,0.0,-12.0,10.5,1.35,-9.15
2003-01-11,Bolton,Fulham,D,D,A Wiley,0.0,5.29,5.29,3.0,0.83,-2.18
2003-01-11,Chelsea,Charlton,H,H,M Dean,0.0,2.1,2.1,6.75,2.65,-4.1
2003-01-11,Liverpool,Aston Villa,D,H,P Durkin,31.5,11.8,-19.7,9.08,6.9,-2.18
2003-01-11,Man City,Leeds,H,H,R Styles,44.45,0.75,-43.7,4.5,80.12,75.62
2003-01-11,Middlesbrough,Southampton,D,A,D Elleray,34.08,0.0,-34.08,12.0,0.0,-12.0
2003-01-11,Sunderland,Blackburn,D,D,M Riley,29.68,0.0,-29.68,7.25,1.8,-5.45
2003-01-11,West Brom,Man United,A,A,N Barry,16.95,0.0,-16.95,48.53,3.5,-45.03
2003-01-11,West Ham,Newcastle,D,H,J Winter,0.4,0.08,-0.33,34.55,0.23,-34.33
2003-01-12,Birmingham,Arsenal,A,A,S Bennett,15.68,1.15,-14.53,12.83,8.22,-4.61
2003-01-12,Tottenham,Everton,H,D,S Dunn,10.5,1.35,-9.15,13.88,0.38,-13.5
2003-01-18,Aston Villa,Tottenham,A,D,N Barry,9.08,6.9,-2.18,10.5,1.35,-9.15
2003-01-18,Blackburn,Birmingham,D,H,C Wilkes,7.25,1.8,-5.45,15.68,1.15,-14.53
2003-01-18,Charlton,Bolton,D,D,D Elleray,6.75,2.65,-4.1,0.0,5.29,5.29
2003-01-18,Everton,Sunderland,H,A,P Dowd,13.88,0.38,-13.5,29.68,0.0,-29.68
2003-01-18,Leeds,West Brom,D,D,U Rennie,4.5,80.12,75.62,16.95,0.0,-16.95
2003-01-18,Man United,Chelsea,H,D,P Durkin,48.53,3.5,-45.03,0.0,2.1,2.1
2003-01-18,Newcastle,Man City,H,H,G Poll,34.55,0.23,-34.33,44.45,0.75,-43.7
2003-01-18,Southampton,Liverpool,A,A,S Bennett,12.0,0.0,-12.0,31.5,11.8,-19.7
2003-01-19,Arsenal,West Ham,H,D,M Dean,12.83,8.22,-4.61,0.4,0.08,-0.33
2003-01-19,Fulham,Middlesbrough,H,H,M Halsey,3.0,0.83,-2.18,34.08,0.0,-34.08
2003-01-22,Charlton,West Ham,H,H,E Wolstenholme,6.75,2.65,-4.1,0.4,0.08,-0.33
2003-01-22,Newcastle,Bolton,H,H,P Dowd,34.55,0.23,-34.33,0.0,5.29,5.29
2003-01-28,Bolton,Everton,A,A,R Styles,0.0,5.29,5.29,13.88,0.38,-13.5
2003-01-28,Chelsea,Leeds,H,A,J Winter,0.0,2.1,2.1,4.5,80.12,75.62
2003-01-28,Middlesbrough,Aston Villa,A,D,D Gallagher,34.08,0.0,-34.08,9.08,6.9,-2.18
2003-01-28,Sunderland,Southampton,A,D,N Barry,29.68,0.0,-29.68,12.0,0.0,-12.0
2003-01-29,Liverpool,Arsenal,D,A,M Halsey,31.5,11.8,-19.7,12.83,8.22,-4.61
2003-01-29,Man City,Fulham,H,D,S Bennett,44.45,0.75,-43.7,3.0,0.83,-2.18
2003-01-29,Tottenham,Newcastle,A,D,D Elleray,10.5,1.35,-9.15,34.55,0.23,-34.33
2003-01-29,West Brom,Charlton,A,D,A D'Urso,16.95,0.0,-16.95,6.75,2.65,-4.1
2003-01-29,West Ham,Blackburn,H,A,A Wiley,0.4,0.08,-0.33,7.25,1.8,-5.45
2003-02-01,Arsenal,Fulham,H,D,E Wolstenholme,12.83,8.22,-4.61,3.0,0.83,-2.18
2003-02-01,Bolton,Birmingham,H,D,D Gallagher,0.0,5.29,5.29,15.68,1.15,-14.53
2003-02-01,Chelsea,Tottenham,D,D,P Durkin,0.0,2.1,2.1,10.5,1.35,-9.15
2003-02-01,Everton,Leeds,H,D,M Halsey,13.88,0.38,-13.5,4.5,80.12,75.62
2003-02-01,Man City,West Brom,A,D,N Barry,44.45,0.75,-43.7,16.95,0.0,-16.95
2003-02-01,Southampton,Man United,A,A,P Dowd,12.0,0.0,-12.0,48.53,3.5,-45.03
2003-02-01,Sunderland,Charlton,A,A,A Wiley,29.68,0.0,-29.68,6.75,2.65,-4.1
2003-02-02,Aston Villa,Blackburn,H,H,M Dean,9.08,6.9,-2.18,7.25,1.8,-5.45
2003-02-02,West Ham,Liverpool,A,A,M Messias,0.4,0.08,-0.33,31.5,11.8,-19.7
2003-02-04,Birmingham,Man United,A,D,S Dunn,15.68,1.15,-14.53,48.53,3.5,-45.03
2003-02-08,Birmingham,Chelsea,A,A,M Halsey,15.68,1.15,-14.53,0.0,2.1,2.1
2003-02-08,Blackburn,Southampton,H,H,M Riley,7.25,1.8,-5.45,12.0,0.0,-12.0
2003-02-08,Charlton,Everton,H,H,J Winter,6.75,2.65,-4.1,13.88,0.38,-13.5
2003-02-08,Fulham,Aston Villa,H,H,S Dunn,3.0,0.83,-2.18,9.08,6.9,-2.18
2003-02-08,Leeds,West Ham,H,H,D Gallagher,4.5,80.12,75.62,0.4,0.08,-0.33
2003-02-08,Liverpool,Middlesbrough,D,A,S Bennett,31.5,11.8,-19.7,34.08,0.0,-34.08
2003-02-08,Tottenham,Sunderland,H,H,R Styles,10.5,1.35,-9.15,29.68,0.0,-29.68
2003-02-08,West Brom,Bolton,D,A,D Elleray,16.95,0.0,-16.95,0.0,5.29,5.29
2003-02-09,Man United,Man City,D,H,A Wiley,48.53,3.5,-45.03,44.45,0.75,-43.7
2003-02-09,Newcastle,Arsenal,D,A,N Barry,34.55,0.23,-34.33,12.83,8.22,-4.61
2003-02-19,Fulham,West Brom,H,D,U Rennie,3.0,0.83,-2.18,16.95,0.0,-16.95
2003-02-22,Bolton,Man United,D,D,A D'Urso,0.0,5.29,5.29,48.53,3.5,-45.03
2003-02-22,Charlton,Aston Villa,H,D,P Dowd,6.75,2.65,-4.1,9.08,6.9,-2.18
2003-02-22,Chelsea,Blackburn,A,D,G Poll,0.0,2.1,2.1,7.25,1.8,-5.45
2003-02-22,Everton,Southampton,H,A,D Elleray,13.88,0.38,-13.5,12.0,0.0,-12.0
2003-02-22,Leeds,Newcastle,A,A,A Wiley,4.5,80.12,75.62,34.55,0.23,-34.33
2003-02-22,Man City,Arsenal,A,A,P Durkin,44.45,0.75,-43.7,12.83,8.22,-4.61
2003-02-22,Sunderland,Middlesbrough,A,A,M Halsey,29.68,0.0,-29.68,34.08,0.0,-34.08
2003-02-23,Birmingham,Liverpool,H,H,C Wilkes,15.68,1.15,-14.53,31.5,11.8,-19.7
2003-02-23,West Brom,West Ham,A,A,M Dean,16.95,0.0,-16.95,0.4,0.08,-0.33
2003-02-24,Tottenham,Fulham,D,D,G Barber,10.5,1.35,-9.15,3.0,0.83,-2.18
2003-03-01,Blackburn,Man City,H,H,S Dunn,7.25,1.8,-5.45,44.45,0.75,-43.7
2003-03-01,Fulham,Sunderland,H,D,E Wolstenholme,3.0,0.83,-2.18,29.68,0.0,-29.68
2003-03-01,Middlesbrough,Everton,D,A,U Rennie,34.08,0.0,-34.08,13.88,0.38,-13.5
2003-03-01,Newcastle,Chelsea,H,D,J Winter,34.55,0.23,-34.33,0.0,2.1,2.1
2003-03-01,Southampton,West Brom,H,H,D Gallagher,12.0,0.0,-12.0,16.95,0.0,-16.95
2003-03-01,West Ham,Tottenham,H,H,N Barry,0.4,0.08,-0.33,10.5,1.35,-9.15
2003-03-02,Arsenal,Charlton,H,H,R Styles,12.83,8.22,-4.61,6.75,2.65,-4.1
2003-03-03,Aston Villa,Birmingham,A,D,M Halsey,9.08,6.9,-2.18,15.68,1.15,-14.53
2003-03-05,Man United,Leeds,H,H,G Poll,48.53,3.5,-45.03,4.5,80.12,75.62
2003-03-05,Middlesbrough,Newcastle,H,D,A D'Urso,34.08,0.0,-34.08,34.55,0.23,-34.33
2003-03-08,Liverpool,Bolton,H,H,G Barber,31.5,11.8,-19.7,0.0,5.29,5.29
2003-03-15,Aston Villa,Man United,A,A,M Dean,9.08,6.9,-2.18,48.53,3.5,-45.03
2003-03-15,Blackburn,Arsenal,H,H,S Bennett,7.25,1.8,-5.45,12.83,8.22,-4.61
2003-03-15,Charlton,Newcastle,A,A,S Dunn,6.75,2.65,-4.1,34.55,0.23,-34.33
2003-03-15,Everton,West Ham,D,D,M Halsey,13.88,0.38,-13.5,0.4,0.08,-0.33
2003-03-15,Fulham,Southampton,D,H,P Durkin,3.0,0.83,-2.18,12.0,0.0,-12.0
2003-03-15,Leeds,Middlesbrough,A,A,D Elleray,4.5,80.12,75.62,34.08,0.0,-34.08
2003-03-15,Sunderland,Bolton,A,D,J Winter,29.68,0.0,-29.68,0.0,5.29,5.29
2003-03-16,Man City,Birmingham,H,D,M Messias,44.45,0.75,-43.7,15.68,1.15,-14.53
2003-03-16,Tottenham,Liverpool,A,D,U Rennie,10.5,1.35,-9.15,31.5,11.8,-19.7
2003-03-16,West Brom,Chelsea,A,A,A D'Urso,16.95,0.0,-16.95,0.0,2.1,2.1
2003-03-22,Birmingham,West Brom,H,D,P Durkin,15.68,1.15,-14.53,16.95,0.0,-16.95
2003-03-22,Chelsea,Man City,H,H,P Dowd,0.0,2.1,2.1,44.45,0.75,-43.7
2003-03-22,Man United,Fulham,H,H,S Bennett,48.53,3.5,-45.03,3.0,0.83,-2.18
2003-03-22,Middlesbrough,Charlton,D,A,M Dean,34.08,0.0,-34.08,6.75,2.65,-4.1
2003-03-22,Newcastle,Blackburn,H,H,N Barry,34.55,0.23,-34.33,7.25,1.8,-5.45
2003-03-22,Southampton,Aston Villa,D,A,G Barber,12.0,0.0,-12.0,9.08,6.9,-2.18
2003-03-22,West Ham,Sunderland,H,H,R Styles,0.4,0.08,-0.33,29.68,0.0,-29.68
2003-03-23,Arsenal,Everton,H,H,A Wiley,12.83,8.22,-4.61,13.88,0.38,-13.5
2003-03-23,Liverpool,Leeds,H,H,A D'Urso,31.5,11.8,-19.7,4.5,80.12,75.62
2003-03-24,Bolton,Tottenham,H,D,G Poll,0.0,5.29,5.29,10.5,1.35,-9.15
2003-04-05,Aston Villa,Arsenal,D,D,U Rennie,9.08,6.9,-2.18,12.83,8.22,-4.61
2003-04-05,Bolton,Man City,H,H,C Wilkes,0.0,5.29,5.29,44.45,0.75,-43.7
2003-04-05,Charlton,Leeds,A,A,E Wolstenholme,6.75,2.65,-4.1,4.5,80.12,75.62
2003-04-05,Man United,Liverpool,H,H,M Riley,48.53,3.5,-45.03,31.5,11.8,-19.7
2003-04-05,Middlesbrough,West Brom,H,H,M Halsey,34.08,0.0,-34.08,16.95,0.0,-16.95
2003-04-05,Southampton,West Ham,D,H,M Messias,12.0,0.0,-12.0,0.4,0.08,-0.33
2003-04-05,Sunderland,Chelsea,A,H,D Gallagher,29.68,0.0,-29.68,0.0,2.1,2.1
2003-04-05,Tottenham,Birmingham,H,H,D Elleray,10.5,1.35,-9.15,15.68,1.15,-14.53
2003-04-06,Everton,Newcastle,H,D,N Barry,13.88,0.38,-13.5,34.55,0.23,-34.33
2003-04-07,Fulham,Blackburn,A,A,G Poll,3.0,0.83,-2.18,7.25,1.8,-5.45
2003-04-12,Birmingham,Sunderland,H,H,P Dowd,15.68,1.15,-14.53,29.68,0.0,-29.68
2003-04-12,Blackburn,Charlton,H,H,J Winter,7.25,1.8,-5.45,6.75,2.65,-4.1
2003-04-12,Chelsea,Bolton,H,D,G Barber,0.0,2.1,2.1,0.0,5.29,5.29
2003-04-12,Leeds,Tottenham,D,A,R Styles,4.5,80.12,75.62,10.5,1.35,-9.15
2003-04-12,Liverpool,Fulham,H,H,A Wiley,31.5,11.8,-19.7,3.0,0.83,-2.18
2003-04-12,Man City,Middlesbrough,D,D,A D'Urso,44.45,0.75,-43.7,34.08,0.0,-34.08
2003-04-12,Newcastle,Man United,A,A,S Dunn,34.55,0.23,-34.33,48.53,3.5,-45.03
2003-04-12,West Brom,Everton,A,A,S Bennett,16.95,0.0,-16.95,13.88,0.38,-13.5
2003-04-12,West Ham,Aston Villa,D,D,M Dean,0.4,0.08,-0.33,9.08,6.9,-2.18
2003-04-16,Arsenal,Man United,D,A,M Halsey,12.83,8.22,-4.61,48.53,3.5,-45.03
2003-04-18,Tottenham,Man City,A,A,M Riley,10.5,1.35,-9.15,44.45,0.75,-43.7
2003-04-19,Aston Villa,Chelsea,H,H,R Styles,9.08,6.9,-2.18,0.0,2.1,2.1
2003-04-19,Bolton,West Ham,H,H,U Rennie,0.0,5.29,5.29,0.4,0.08,-0.33
2003-04-19,Charlton,Birmingham,A,A,N Barry,6.75,2.65,-4.1,15.68,1.15,-14.53
2003-04-19,Everton,Liverpool,A,A,P Durkin,13.88,0.38,-13.5,31.5,11.8,-19.7
2003-04-19,Fulham,Newcastle,H,A,D Gallagher,3.0,0.83,-2.18,34.55,0.23,-34.33
2003-04-19,Man United,Blackburn,H,H,A D'Urso,48.53,3.5,-45.03,7.25,1.8,-5.45
2003-04-19,Middlesbrough,Arsenal,A,D,D Elleray,34.08,0.0,-34.08,12.83,8.22,-4.61
2003-04-19,Southampton,Leeds,H,H,M Halsey,12.0,0.0,-12.0,4.5,80.12,75.62
2003-04-19,Sunderland,West Brom,A,A,G Poll,29.68,0.0,-29.68,16.95,0.0,-16.95
2003-04-21,Birmingham,Southampton,H,A,S Bennett,15.68,1.15,-14.53,12.0,0.0,-12.0
2003-04-21,Blackburn,Bolton,D,D,M Dean,7.25,1.8,-5.45,0.0,5.29,5.29
2003-04-21,Chelsea,Everton,H,H,M Riley,0.0,2.1,2.1,13.88,0.38,-13.5
2003-04-21,Liverpool,Charlton,H,D,S Dunn,31.5,11.8,-19.7,6.75,2.65,-4.1
2003-04-21,Man City,Sunderland,H,H,G Barber,44.45,0.75,-43.7,29.68,0.0,-29.68
2003-04-21,Newcastle,Aston Villa,D,H,J Winter,34.55,0.23,-34.33,9.08,6.9,-2.18
2003-04-21,West Brom,Tottenham,A,D,P Dowd,16.95,0.0,-16.95,10.5,1.35,-9.15
2003-04-21,West Ham,Middlesbrough,H,D,A Wiley,0.4,0.08,-0.33,34.08,0.0,-34.08
2003-04-22,Leeds,Fulham,H,H,N Barry,4.5,80.12,75.62,3.0,0.83,-2.18
2003-04-26,Birmingham,Middlesbrough,H,H,M Dean,15.68,1.15,-14.53,34.08,0.0,-34.08
2003-04-26,Bolton,Arsenal,D,D,A D'Urso,0.0,5.29,5.29,12.83,8.22,-4.61
2003-04-26,Charlton,Southampton,H,H,A Wiley,6.75,2.65,-4.1,12.0,0.0,-12.0
2003-04-26,Chelsea,Fulham,D,H,D Elleray,0.0,2.1,2.1,3.0,0.83,-2.18
2003-04-26,Everton,Aston Villa,H,D,G Poll,13.88,0.38,-13.5,9.08,6.9,-2.18
2003-04-26,Leeds,Blackburn,A,D,P Durkin,4.5,80.12,75.62,7.25,1.8,-5.45
2003-04-26,Sunderland,Newcastle,A,A,S Bennett,29.68,0.0,-29.68,34.55,0.23,-34.33
2003-04-26,West Brom,Liverpool,A,A,D Gallagher,16.95,0.0,-16.95,31.5,11.8,-19.7
2003-04-27,Man City,West Ham,A,D,R Styles,44.45,0.75,-43.7,0.4,0.08,-0.33
2003-04-27,Tottenham,Man United,A,D,J Winter,10.5,1.35,-9.15,48.53,3.5,-45.03
2003-05-03,Aston Villa,Sunderland,H,D,S Dunn,9.08,6.9,-2.18,29.68,0.0,-29.68
2003-05-03,Blackburn,West Brom,D,H,R Styles,7.25,1.8,-5.45,16.95,0.0,-16.95
2003-05-03,Fulham,Everton,H,H,G Barber,3.0,0.83,-2.18,13.88,0.38,-13.5
2003-05-03,Liverpool,Man City,A,D,N Barry,31.5,11.8,-19.7,44.45,0.75,-43.7
2003-05-03,Man United,Charlton,H,H,M Halsey,48.53,3.5,-45.03,6.75,2.65,-4.1
2003-05-03,Middlesbrough,Tottenham,H,H,U Rennie,34.08,0.0,-34.08,10.5,1.35,-9.15
2003-05-03,Newcastle,Birmingham,H,H,D Elleray,34.55,0.23,-34.33,15.68,1.15,-14.53
2003-05-03,Southampton,Bolton,D,D,P Dowd,12.0,0.0,-12.0,0.0,5.29,5.29
2003-05-03,West Ham,Chelsea,H,D,A D'Urso,0.4,0.08,-0.33,0.0,2.1,2.1
2003-05-04,Arsenal,Leeds,A,D,A Wiley,12.83,8.22,-4.61,4.5,80.12,75.62
2003-05-07,Arsenal,Southampton,H,H,U Rennie,12.83,8.22,-4.61,12.0,0.0,-12.0
2003-05-11,Birmingham,West Ham,D,D,G Poll,15.68,1.15,-14.53,0.4,0.08,-0.33
2003-05-11,Bolton,Middlesbrough,H,H,R Styles,0.0,5.29,5.29,34.08,0.0,-34.08
2003-05-11,Charlton,Fulham,A,A,D Gallagher,6.75,2.65,-4.1,3.0,0.83,-2.18
2003-05-11,Chelsea,Liverpool,H,H,A Wiley,0.0,2.1,2.1,31.5,11.8,-19.7
2003-05-11,Everton,Man United,A,D,M Riley,13.88,0.38,-13.5,48.53,3.5,-45.03
2003-05-11,Leeds,Aston Villa,H,D,M Halsey,4.5,80.12,75.62,9.08,6.9,-2.18
2003-05-11,Man City,Southampton,A,A,M Dean,44.45,0.75,-43.7,12.0,0.0,-12.0
2003-05-11,Sunderland,Arsenal,A,A,P Durkin,29.68,0.0,-29.68,12.83,8.22,-4.61
2003-05-11,Tottenham,Blackburn,A,A,A D'Urso,10.5,1.35,-9.15,7.25,1.8,-5.45
2003-05-11,West Brom,Newcastle,D,A,G Barber,16.95,0.0,-16.95,34.55,0.23,-34.33
2003-08-16,Arsenal,Everton,H,H,M Halsey,27.42,1.05,-26.37,9.92,0.98,-8.94
2003-08-16,Birmingham,Tottenham,H,H,R Styles,17.1,1.95,-15.15,29.75,1.75,-28.0
2003-08-16,Blackburn,Wolves,H,H,J Winter,22.34,34.85,12.51,9.88,1.15,-8.73
2003-08-16,Fulham,Middlesbrough,H,D,G Poll,8.48,25.04,16.56,10.2,1.13,-9.08
2003-08-16,Leicester,Southampton,D,H,M Riley,1.14,0.0,-1.14,8.98,10.88,1.9
2003-08-16,Man United,Bolton,H,H,P Durkin,56.53,59.3,2.78,0.75,0.08,-0.68
2003-08-16,Portsmouth,Aston Villa,H,H,G Barber,11.78,0.2,-11.58,8.38,0.29,-8.09
2003-08-17,Charlton,Man City,A,A,M Dean,1.5,15.0,13.5,14.26,6.62,-7.64
2003-08-17,Leeds,Newcastle,D,D,R Martin,0.1,16.83,16.73,0.0,5.0,5.0
2003-08-17,Liverpool,Chelsea,A,A,S Bennett,15.65,0.0,-15.65,170.0,0.95,-169.05
2003-08-23,Bolton,Blackburn,D,H,A D'Urso,0.75,0.08,-0.68,22.34,34.85,12.51
2003-08-23,Chelsea,Leicester,H,H,R Styles,170.0,0.95,-169.05,1.14,0.0,-1.14
2003-08-23,Everton,Fulham,H,H,N Barry,9.92,0.98,-8.94,8.48,25.04,16.56
2003-08-23,Man City,Portsmouth,D,A,M Messias,14.26,6.62,-7.64,11.78,0.2,-11.58
2003-08-23,Newcastle,Man United,A,H,U Rennie,0.0,5.0,5.0,56.53,59.3,2.78
2003-08-23,Southampton,Birmingham,D,D,Graham Barber,8.98,10.88,1.9,17.1,1.95,-15.15
2003-08-23,Tottenham,Leeds,H,D,S Dunn,29.75,1.75,-28.0,0.1,16.83,16.73
2003-08-23,Wolves,Charlton,A,A,P Dowd,9.88,1.15,-8.73,1.5,15.0,13.5
2003-08-24,Aston Villa,Liverpool,D,D,P Durkin,8.38,0.29,-8.09,15.65,0.0,-15.65
2003-08-24,Middlesbrough,Arsenal,A,A,D Gallagher,10.2,1.13,-9.08,27.42,1.05,-26.37
2003-08-25,Blackburn,Man City,A,D,A Wiley,22.34,34.85,12.51,14.26,6.62,-7.64
2003-08-26,Charlton,Everton,D,D,S Dunn,1.5,15.0,13.5,9.92,0.98,-8.94
2003-08-26,Leeds,Southampton,D,D,P Durkin,0.1,16.83,16.73,8.98,10.88,1.9
2003-08-26,Leicester,Middlesbrough,D,D,G Barber,1.14,0.0,-1.14,10.2,1.13,-9.08
2003-08-26,Portsmouth,Bolton,H,D,D Gallagher,11.78,0.2,-11.58,0.75,0.08,-0.68
2003-08-27,Arsenal,Aston Villa,H,D,M Dean,27.42,1.05,-26.37,8.38,0.29,-8.09
2003-08-27,Liverpool,Tottenham,D,D,U Rennie,15.65,0.0,-15.65,29.75,1.75,-28.0
2003-08-27,Man United,Wolves,H,D,G Poll,56.53,59.3,2.78,9.88,1.15,-8.73
2003-08-30,Aston Villa,Leicester,H,H,S Bennett,8.38,0.29,-8.09,1.14,0.0,-1.14
2003-08-30,Bolton,Charlton,D,D,A Wiley,0.75,0.08,-0.68,1.5,15.0,13.5
